	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
LTB	0	2.17762173802905	0.815	0.183	0	Regulatory T cells	LTB
IL7R	0	2.13850611005287	0.742	0.148	0	Regulatory T cells	IL7R
IL32	0	1.58160108830954	0.976	0.57	0	Regulatory T cells	IL32
TNFRSF4	0	1.54422495535293	0.401	0.058	0	Regulatory T cells	TNFRSF4
SPOCK2	0	1.53183895632645	0.773	0.137	0	Regulatory T cells	SPOCK2
TSC22D3	0	1.44610580400405	0.808	0.411	0	Regulatory T cells	TSC22D3
BTG1	0	1.44291545910687	0.982	0.728	0	Regulatory T cells	BTG1
CXCR4	0	1.39369899161874	0.767	0.341	0	Regulatory T cells	CXCR4
TNFAIP3	0	1.36601661758449	0.748	0.37	0	Regulatory T cells	TNFAIP3
CD2	0	1.34953266732335	0.847	0.211	0	Regulatory T cells	CD2
CD3E	0	1.300366947846	0.911	0.24	0	Regulatory T cells	CD3E
SARAF	0	1.191293361954	0.964	0.766	0	Regulatory T cells	SARAF
FXYD5	0	1.13911300107402	0.942	0.65	0	Regulatory T cells	FXYD5
FOXP3	0	1.13808992086588	0.282	0.012	0	Regulatory T cells	FOXP3
BATF	0	1.13639446634742	0.469	0.13	0	Regulatory T cells	BATF
S100A4	0	1.1337138049448	0.946	0.582	0	Regulatory T cells	S100A4
PTPRC	0	1.09775559142685	0.893	0.41	0	Regulatory T cells	PTPRC
CD3D	0	1.08478767354136	0.843	0.212	0	Regulatory T cells	CD3D
ARHGDIB	0	1.05367751706355	0.954	0.529	0	Regulatory T cells	ARHGDIB
KLRB1	0	1.00623310872105	0.435	0.093	0	Regulatory T cells	KLRB1
CCR7	0	0.943334431466923	0.338	0.064	0	Regulatory T cells	CCR7
TRBC2	0	0.923043662198001	0.647	0.21	0	Regulatory T cells	TRBC2
LCK	0	0.91278193266718	0.722	0.199	0	Regulatory T cells	LCK
CORO1A	0	0.880871389341348	0.883	0.418	0	Regulatory T cells	CORO1A
HLA-E	0	0.869053935486104	0.993	0.893	0	Regulatory T cells	HLA-E
FYB1	0	0.867318361793019	0.737	0.306	0	Regulatory T cells	FYB1
RAC2	0	0.85755688587313	0.875	0.454	0	Regulatory T cells	RAC2
HSPA8	0	0.839788005448717	0.997	0.947	0	Regulatory T cells	HSPA8
CD52	0	0.832440897481047	0.815	0.34	0	Regulatory T cells	CD52
ICOS	0	0.831687573071525	0.413	0.064	0	Regulatory T cells	ICOS
SH2D2A	0	0.822182335816553	0.525	0.137	0	Regulatory T cells	SH2D2A
PBXIP1	0	0.817382103438742	0.523	0.175	0	Regulatory T cells	PBXIP1
LEPROTL1	0	0.812727801070346	0.603	0.267	0	Regulatory T cells	LEPROTL1
LIMD2	0	0.802410643842684	0.688	0.308	0	Regulatory T cells	LIMD2
TRBC1	0	0.793782802778598	0.447	0.125	0	Regulatory T cells	TRBC1
B2M	0	0.7824090978887	1	0.999	0	Regulatory T cells	B2M
HLA-A	0	0.766138311524739	1	0.968	0	Regulatory T cells	HLA-A
LAT	0	0.747114531083709	0.549	0.151	0	Regulatory T cells	LAT
SRGN	0	0.717037299529775	0.936	0.569	0	Regulatory T cells	SRGN
GATA3	0	0.711904488518167	0.41	0.093	0	Regulatory T cells	GATA3
CD7	0	0.706404763024613	0.655	0.203	0	Regulatory T cells	CD7
CD3G	0	0.702123423536679	0.604	0.163	0	Regulatory T cells	CD3G
CTLA4	0	0.686776360370087	0.317	0.051	0	Regulatory T cells	CTLA4
CD37	0	0.677754062861146	0.796	0.368	0	Regulatory T cells	CD37
RORA	0	0.661777794154896	0.446	0.124	0	Regulatory T cells	RORA
FLT3LG	0	0.660750348065623	0.423	0.1	0	Regulatory T cells	FLT3LG
SKAP1	0	0.644703734700961	0.495	0.15	0	Regulatory T cells	SKAP1
CD5	0	0.638319231714659	0.402	0.069	0	Regulatory T cells	CD5
CD6	0	0.615129276336587	0.417	0.097	0	Regulatory T cells	CD6
CD247	0	0.607942068386887	0.518	0.146	0	Regulatory T cells	CD247
CCR6	0	0.601864378532473	0.299	0.044	0	Regulatory T cells	CCR6
