	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CHGA	3.26453680699289e-62	2.8338950636686	0.271	0.03	5.5568945528633e-58
TFF1	0.257574787804581	2.46278270847021	0.385	0.449	1
IGHV3-11	0.746781882240181	2.44404814059741	0.007	0.006	1
ALPG	7.29934090981734e-38	2.16268689790581	0.2	0.031	1.24249380966911e-33
IGLV1-40	0.04281673230038	2.06349221508991	0.054	0.087	1
RPL7	1.71857225046185e-59	1.67604929607467	0.949	0.895	2.92535368473616e-55
PSCA	6.55315571411486e-41	1.65797026749597	0.259	0.054	1.11547816565663e-36
ANXA10	1.30601638667294e-130	1.45782213068152	0.398	0.017	2.22310109339467e-126
RPL12	2.17137248219737e-94	1.45246248209735	1	0.995	3.69611023919636e-90
TM4SF4	1.20689216003924e-13	1.43302687044468	0.366	0.254	2.0543718348188e-09
GDI2	5.07430359370284e-46	1.4284357769155	0.676	0.445	8.63747957720098e-42
RPL32	5.69519122418584e-73	1.42197141337284	0.998	0.992	9.69435450180914e-69
VIM	2.53780142904567e-25	1.40649342127886	0.607	0.404	4.31984559252153e-21
MMP1	5.24660374232174e-17	1.36945576938505	0.251	0.106	8.93076889018006e-13
ALDOA	8.46119937600229e-69	1.34563121979395	0.954	0.852	1.44026535778311e-64
PABPC1	1.27075388736638e-87	1.32235829040205	0.963	0.866	2.16307726707505e-83
FXYD3	1.76310823965617e-13	1.32047150297712	0.693	0.738	3.00116284554274e-09
RPL22L1	5.38917726757421e-28	1.31299053100018	0.751	0.63	9.17345754486481e-24
RPL29	3.51540192449217e-25	1.31111242338234	0.995	0.989	5.98391715587056e-21
CA9	4.35537208817273e-88	1.30721351954939	0.4	0.054	7.41371436848762e-84
CTSE	1.02614691448562e-07	1.28724895671582	0.395	0.352	0.00174670727783742
HSPA6	4.74395925582529e-26	1.26137372250865	0.461	0.225	8.07516744526581e-22
HLA-DRB1	1.24012883293776e-39	1.25380252132213	0.717	0.419	2.11094729942666e-35
CXCL5	1.31536825870491e-92	1.24849765473465	0.32	0.019	2.2390198499675e-88
