Description	NES	pvalue
cytoplasmic translation	2.93205444445053	1.65035573667531e-36
regulation of catecholamine secretion	2.02814368890815	4.11386861509563e-05
ribosome biogenesis	1.96009066639671	2.10963316977399e-10
catecholamine secretion	1.95095346023945	7.90413685425801e-05
catecholamine transport	1.8333055939215	0.000363644230593934
nuclear division	-1.39192853832243	0.000559141426977459
cell junction assembly	-1.40399471249136	0.000402348552540506
response to nutrient levels	-1.40410632361861	0.000260066348888386
regulation of cell cycle phase transition	-1.40989675307341	0.00023705225763422
chromosome segregation	-1.44015806002052	8.82181794699693e-05
positive regulation of cell cycle	-1.49191962791834	7.42437850657691e-05
positive regulation of cell cycle process	-1.52077729333806	0.000134952587845641
regulation of chromosome segregation	-1.59338168263735	0.000312996808649858
detection of chemical stimulus	-1.76544542534938	1.45769305101436e-05
