ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002181	cytoplasmic translation	154	0.88149405143046	2.93205444445053	1.65035573667531e-36	1.01546388477632e-32	9.05784716950006e-33	627	tags=59%, list=4%, signal=57%	RPL7/RPL12/RPL32/PABPC1/RPL22L1/RPL29/RPL8/RPL18/RPLP2/RPL18A/RPS13/RPS5/RPS6/RPL7A/RPS8/RPL14/RPL3/RPL13/RPS24/RPL5/RPL28/RPL35A/RPSA/RPS18/RPS3/EIF3E/RPL17/RPL36/RPS2/RPS23/RPL30/RPL9/RPLP1/RPL4/RPL27A/RPL15/RPL34/RPL23A/RPL37/RPL24/RPS25/RPS9/RPL10A/RPS11/RPL23/RPL31/RPL11/RPL13A/RACK1/RPL26/RPS15A/RPS3A/EIF3H/RPS10/RPS17/RPS14/RPL37A/RPS19/RPL22/RPS28/FAU/RPS12/RPLP0/RPL19/RPS7/RPS27A/RPL35/RPS15/RPL6/RPS4X/RPL39/RPS20/RPS21/RPL27/EIF4A2/UBA52/EIF3F/RPL41/EIF3M/YBX1/RPL21/EIF2S3/EIF4G1/RPS29/PKM/RPL36A/CSDE1/EIF3A/RPL38/NCBP2/RPL10
GO:0042273	ribosomal large subunit biogenesis	67	0.770492445880345	2.23073255551279	9.54238947859467e-09	1.95714408205977e-05	1.74575504355763e-05	694	tags=33%, list=4%, signal=32%	RPL7/RPL14/RPL5/RPL35A/RPL23A/NPM1/RPL11/RPL26/RPLP0/RPL35/RPL6/NOP16/NOP53/RSL24D1/BOP1/NSA2/TRAF7/RPL38/RPL10/EBNA1BP2/RRS1/NIFK
GO:0000027	ribosomal large subunit assembly	23	0.903862007424023	2.18708870090531	5.933882435007e-07	0.000521588266037116	0.000465252075430474	659	tags=48%, list=4%, signal=46%	RPL5/RPL23A/RPL11/RPLP0/RPL6/NOP53/BOP1/TRAF7/RPL38/RPL10/RRS1
GO:0042255	ribosome assembly	55	0.731817439106732	2.10241434433206	3.55570428625852e-06	0.00273478105916858	0.0024394002827042	659	tags=38%, list=4%, signal=37%	RPS5/RPL5/RPSA/RPL23A/NPM1/RPL11/RPS14/RPS19/RPS28/RPLP0/RPS15/RPL6/C1QBP/NOP53/EIF2A/BOP1/TRAF7/RPL38/RPL10/MRPS2/RRS1
GO:0050433	regulation of catecholamine secretion	44	0.751728137860528	2.02814368890815	4.11386861509563e-05	0.0101250534354734	0.00903145724594048	1391	tags=16%, list=8%, signal=15%	CHGA/SYT8/SNCG/SYT13/SDHD/ADRA2A/STX1A
GO:0042274	ribosomal small subunit biogenesis	75	0.680706259702458	2.01067572873728	5.07818017049687e-06	0.0029917673903435	0.00266862979517924	745	tags=27%, list=4%, signal=26%	RPS5/RPS6/RPS8/RPS24/RPSA/RPS25/RPS9/NPM1/RPS17/RPS14/RPS19/RPS28/RPS7/RPS15/RPS21/NOB1/DCAF13/RPL38/RRS1/IMP4
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	98	0.620954356211903	1.97629002682372	1.00507006302487e-05	0.00442624463387382	0.00394817068627509	1186	tags=41%, list=7%, signal=38%	ALDOA/NME2/ATP5F1C/ENO1/IMPDH2/ATP5F1A/ATP5F1D/NME1/AK4/NDUFV3/NDUFB9/ATP5ME/ATP5MC3/ATP5PO/NDUFV2/ATP5PB/ATP5F1B/UQCC3/NDUFC2/NUDT2/STOML2/NDUFB5/NDUFB8/ATP5MG/NDUFV1/NME4/NDUFA8/NDUFAB1/ATP5MC2/ATP5PF/NDUFS3/NDUFS8/NDUFA3/NDUFS5/SPHK2/NDUFA10/NDUFA11/SDHD/IMPDH1/NDUFA2
GO:0009145	purine nucleoside triphosphate biosynthetic process	99	0.62085210686933	1.96811261914684	5.34851963168835e-06	0.0029917673903435	0.00266862979517924	1186	tags=40%, list=7%, signal=38%	ALDOA/NME2/ATP5F1C/ENO1/IMPDH2/ATP5F1A/ATP5F1D/NME1/AK4/NDUFV3/NDUFB9/ATP5ME/ATP5MC3/ATP5PO/NDUFV2/ATP5PB/ATP5F1B/UQCC3/NDUFC2/NUDT2/STOML2/NDUFB5/NDUFB8/ATP5MG/NDUFV1/NME4/NDUFA8/NDUFAB1/ATP5MC2/ATP5PF/NDUFS3/NDUFS8/NDUFA3/NDUFS5/SPHK2/NDUFA10/NDUFA11/SDHD/IMPDH1/NDUFA2
GO:0042254	ribosome biogenesis	286	0.551225270120962	1.96009066639671	2.10963316977399e-10	6.49028644680967e-07	5.78927755115872e-07	957	tags=22%, list=6%, signal=21%	RPL7/RPS5/RPS6/RPS8/RPL14/RPS24/RPL5/RPL35A/RPSA/RPL23A/RPS25/RPS9/NPM1/RPL11/RPL26/RPS17/RPS14/RPS19/RPS28/RPLP0/RPS7/RPL35/RPS15/RPL6/RPS21/RPL27/NOP16/DDX21/C1QBP/NHP2/EXOSC4/NOP53/RSL24D1/NPM3/NOB1/RBIS/EIF2A/DCAF13/BOP1/EXOSC5/TRMT112/NSA2/TRAF7/NUDT16/RPL38/YBEY/RPL10/PIH1D1/MRPS2/EBNA1BP2/RRS1/NIFK/NOLC1/NMD3/IMP4/GLUL/ABCE1/MRPL36/DIMT1/GRWD1/ZNF593/NOP10/METTL5/NOC2L
GO:0050432	catecholamine secretion	46	0.716307788065084	1.95095346023945	7.90413685425801e-05	0.016553562006729	0.0147656294837922	1391	tags=15%, list=8%, signal=14%	CHGA/SYT8/SNCG/SYT13/SDHD/ADRA2A/STX1A
