Description	NES	pvalue
Ribosome	2.95723960825364	3.36401695241026e-37
Oxidative phosphorylation	1.77568534192783	1.60987864179193e-05
Antigen processing and presentation	1.73360074281416	0.00108804231327565
Pathways in cancer	-1.33419453032957	0.00132412458881038
Tight junction	-1.49398026469998	0.00143648418976774
Cell cycle	-1.53048825977123	0.000306882861167114
Growth hormone synthesis	-1.5516159677978	0.00102154818129934
cAMP signaling pathway	-1.55405855888592	9.83217347186871e-05
Platinum drug resistance	-1.57044219202341	0.00223987443560805
Apoptosis	-1.62421128664172	4.71265243892531e-05
DNA replication	-1.62701233886549	0.00168452317304874
p53 signaling pathway	-1.6294562742088	0.000787538922143131
Chemical carcinogenesis - DNA adducts	-1.66949850846838	0.00060165690553416
Steroid hormone biosynthesis	-1.69045801751153	0.00061686566757775
