ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	130	0.904643104272938	2.95723960825364	3.36401695241026e-37	1.14040174686708e-34	8.88808689531554e-35	630	tags=66%, list=4%, signal=64%	RPL7/RPL12/RPL32/RPL22L1/RPL29/RPL8/RPL18/RPLP2/RPL18A/RPS13/RPS5/RPS6/RPL7A/RPS8/RPL14/RPL3/RPL13/RPS24/RPL5/RPL28/RPL35A/RPSA/RPS18/RPS3/RPL17/RPL36/RPS2/RPS23/RPL30/RPL9/RPLP1/RPL4/RPL27A/RPL15/RPL34/RPL23A/RPL37/RPL24/RPS25/RPS9/RPL10A/RPS11/RPL23/RPL31/RPL11/RPL13A/RPL26/RPS15A/RPS3A/RPS10/RPS17/RPS14/RPL37A/RPS19/RPL22/RPS28/FAU/RPS12/RPLP0/RPL19/RPS7/RPS27A/RPL35/RPS15/RPL6/RPS4X/RPL39/RPS20/RPS21/MRPS21/RPL27/UBA52/RPL41/MRPL13/MRPL23/RPL21/MRPL15/RSL24D1/MRPL4/RPS29/RPL36A/MRPS16/MRPL3/RPL38/RPL10/MRPS2
hsa05171	Coronavirus disease - COVID-19	205	0.784257301653101	2.73401170515147	3.27112325634622e-28	5.54455391950684e-26	4.32132598601527e-26	250	tags=37%, list=2%, signal=36%	RPL7/RPL12/RPL32/MMP1/RPL22L1/RPL29/RPL8/RPL18/RPLP2/RPL18A/RPS13/RPS5/RPS6/RPL7A/RPS8/RPL14/RPL3/RPL13/RPS24/RPL5/RPL28/RPL35A/RPSA/RPS18/RPS3/RPL17/RPL36/RPS2/RPS23/RPL30/RPL9/RPLP1/RPL4/RPL27A/RPL15/RPL34/RPL23A/RPL37/RPL24/RPS25/RPS9/RPL10A/RPS11/RPL23/RPL31/RPL11/RPL13A/RPL26/RPS15A/RPS3A/RPS10/RPS17/RPS14/RPL37A/RPS19/RPL22/RPS28/FAU/RPS12/RPLP0/RPL19/RPS7/RPS27A/RPL35/RPS15/RPL6/RPS4X/RPL39/RPS20/RPS21/CXCL10/RPL27/UBA52/CCL2/RPL41
hsa05310	Asthma	24	0.835080918542571	2.02745239584919	6.86239981128579e-05	0.00465270707205176	0.00362623653185839	807	tags=33%, list=5%, signal=32%	HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB5/HLA-DQB1/HLA-DMA/FCER1G
hsa00190	Oxidative phosphorylation	115	0.557722730672078	1.77568534192783	1.60987864179193e-05	0.00181916286522488	0.00141782294417465	1236	tags=42%, list=7%, signal=39%	ATP5F1C/ATP5F1A/ATP5F1D/UQCRB/CYC1/NDUFV3/COX5A/UQCRH/COX7C/NDUFB9/NDUFA4L2/PPA1/ATP5ME/ATP5MC3/COX8A/COX6C/COX4I1/ATP5PO/NDUFV2/ATP5PB/ATP5F1B/UQCR11/TCIRG1/NDUFC2/ATP6V1G1/NDUFB5/UQCRC2/UQCRQ/NDUFB8/ATP6V0B/ATP5MG/PPA2/NDUFV1/NDUFA8/NDUFAB1/ATP5MC2/ATP6V1C1/ATP5PF/NDUFS3/NDUFS8/NDUFA3/NDUFS5/NDUFA10/NDUFA11/SDHD/NDUFA2/CYCS/NDUFS4
hsa04612	Antigen processing and presentation	69	0.582112270181767	1.73360074281416	0.00108804231327565	0.0230528965125278	0.0179670145152755	838	tags=29%, list=5%, signal=28%	HSPA6/HLA-DRB1/CD74/HLA-DRA/HLA-DPA1/HLA-B/HLA-DPB1/HSPA8/B2M/HSPA1B/HSPA1A/HSPA4/PSME2/HLA-DRB5/HSP90AB1/PSME1/HLA-DQB1/TAP1/HLA-DMA/TAP2
hsa04940	Type I diabetes mellitus	39	0.642637100178415	1.72334436239491	0.00231449852473806	0.0290598148106001	0.022648699014006	789	tags=23%, list=5%, signal=22%	HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-B/HSPD1/HLA-DPB1/HLA-DRB5/HLA-DQB1/HLA-DMA
hsa05332	Graft-versus-host disease	38	0.631393592895747	1.67724936454179	0.00417754208849277	0.0472062255999683	0.0367916864635679	789	tags=21%, list=5%, signal=20%	HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-B/HLA-DPB1/HLA-DRB5/HLA-DQB1/HLA-DMA
hsa05415	Diabetic cardiomyopathy	182	0.443983790481588	1.51894943300704	0.000273541223445727	0.0130041612419565	0.0101352102832823	1167	tags=27%, list=7%, signal=25%	ATP5F1C/ATP5F1A/ATP5F1D/SLC25A6/UQCRB/GAPDH/RAC1/CYC1/NDUFV3/COX5A/VDAC2/UQCRH/COX7C/NDUFB9/NDUFA4L2/ATP5MC3/COX8A/COX6C/COX4I1/ATP5PO/NDUFV2/ATP5PB/ATP5F1B/UQCR11/NDUFC2/RAC2/NDUFB5/UQCRC2/UQCRQ/NDUFB8/GYS1/NDUFV1/SLC25A4/NDUFA8/NDUFAB1/ATP5MC2/SLC2A1/ATP5PF/PDHB/NDUFS3/VDAC1/VDAC3/NDUFS8/NDUFA3/NDUFS5/NDUFA10/NDUFA11/SDHD/NDUFA2
hsa04714	Thermogenesis	208	0.405572921028391	1.4150384303855	0.00155263869272829	0.0248253972090054	0.01934846980115	1167	tags=25%, list=7%, signal=24%	RPS6/ATP5F1C/ATP5F1A/ATP5F1D/UQCRB/CYC1/NDUFV3/COX5A/UQCRH/COX7C/NDUFB9/NDUFA4L2/ATP5ME/CREB3L1/ATP5MC3/COX8A/COX6C/COX4I1/ATP5PO/NDUFV2/ATP5PB/ATP5F1B/UQCR11/COA4/NDUFC2/NDUFB5/UQCRC2/UQCRQ/NDUFB8/PPARG/AKT1S1/ATP5MG/ACSL5/NDUFAF2/NDUFV1/FGFR1/NDUFA8/PNPLA2/MAP3K5/NDUFAB1/ATP5MC2/ATP5PF/NDUFS3/NDUFS8/NDUFAF4/ZNF516/NDUFA3/NDUFS5/NDUFA10/NDUFA11/SDHD/NDUFA2
hsa05200	Pathways in cancer	492	-0.483948287813634	-1.33419453032957	0.00132412458881038	0.0248253972090054	0.01934846980115	3519	tags=29%, list=21%, signal=24%	EPAS1/GNA13/RARA/NCOA1/TRAF4/MSH3/RB1/STAT6/DVL2/NCOA3/FAS/HMOX1/HDAC1/GNAS/RASSF1/ELK1/CCNA2/NOTCH1/BIRC5/GSTT2B/MLH1/SP1/RALA/GSTA4/EP300/RALB/PDGFB/NFKB2/CREBBP/CCND3/BIRC3/EPOR/ITGA6/NOTCH2/IL13RA1/TXNRD2/MAPK1/KEAP1/GNB2/STK4/FN1/BID/CDK2/CDKN1B/GSTO2/ITGA2/CRK/PLCG1/FZD5/IFNAR1/TPM3/EGLN2/GADD45G/APAF1/MITF/IFNGR1/DAPK3/IL23A/GNA11/WNT10A/MSH2/HIF1A/ITGA2B/RPS6KA5/E2F1/MAP2K2/EGFR/LAMA5/MET/GSTM1/TFG/GSK3B/IKBKG/PMAIP1/RBX1/HDAC2/PLCB1/BRCA2/GNAI2/GRB2/ROCK2/PRKCA/ROCK1/BCL2L11/DDB2/IGF2/JAK1/RXRA/BMP2/BAX/WNT7B/IL4R/BDKRB2/WNT7A/CDK4/ERBB2/CEBPA/DAPK1/GSTM4/GADD45A/MSH6/GNG5/CTNNB1/WNT11/ARAF/PRKACB/XIAP/LAMB1/HSP90AA1/GNG11/PIM1/CDH1/CKS1B/TPR/GADD45B/NFE2L2/JUN/BBC3/BCL2L1/PDGFA/CALM2/LAMA3/JUP/EDN1/EML4/TXNRD1/AKT2/MGST3/CALM1/FOS/PTGS2/CXCL8/LAMC2/MDM2/NQO1/MGST1/CDKN2B/LAMB3/HSP90B1/PAX8/NFKBIA/HES1/CDKN1A/GSTA1/CDKN2A
