Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
negative regulation of JNK cascade	4	3.076923076923077	7.721626434491111E-4	PER1, NCOR1, GPS2, PAFAH1B1	127	28	19453	21.88188976377953	0.5280262970168585	0.750542089432536	0.750542089432536
actin cytoskeleton organization	7	5.384615384615385	0.004049801635322429	SPECC1, FLII, MINK1, INPP5K, PFN1, CRK, PAFAH1B1	127	232	19453	4.621606027694814	0.980637161854335	1.0	1.0
cellular senescence	4	3.076923076923077	0.006017667662388717	MAP2K3, MAP2K4, MNT, TP53	127	57	19453	10.748998480453102	0.9971682010038254	1.0	1.0
JNK cascade	4	3.076923076923077	0.006939654499725763	MAP2K4, MINK1, GPS2, PAFAH1B1	127	60	19453	10.211548556430445	0.9988509941652967	1.0	1.0
mRNA export from nucleus	4	3.076923076923077	0.0072645533264182405	ALKBH5, NCBP3, NUP88, SMG6	127	61	19453	10.044146121079127	0.9991640307798662	1.0	1.0
neuron migration	5	3.8461538461538463	0.008663439148649836	YWHAE, CRK, NTN1, PAFAH1B1, NDEL1	127	124	19453	6.176339852679705	0.9997877088176083	1.0	1.0
hippocampus development	4	3.076923076923077	0.012314578034770214	YWHAE, KDM6B, CRK, PAFAH1B1	127	74	19453	8.279633964673334	0.9999941207531643	1.0	1.0
tumor necrosis factor-mediated signaling pathway	4	3.076923076923077	0.014677128497002	EIF5A, PSMB6, TP53, TXNDC17	127	79	19453	7.755606498554768	0.9999994267236232	1.0	1.0
lysosome localization	3	2.307692307692308	0.018185453995722807	RNF167, BORCS6, NDEL1	127	32	19453	14.359990157480315	0.9999999821088963	1.0	1.0
MAPK cascade	5	3.8461538461538463	0.019133375277327364	MAP2K3, YWHAE, PSMB6, MAP2K4, MINK1	127	157	19453	4.878128291288429	0.999999993003537	1.0	1.0
positive regulation of axon extension	3	2.307692307692308	0.02039683788778419	NTN1, PAFAH1B1, NDEL1	127	34	19453	13.51528485409912	0.9999999980011816	1.0	1.0
negative regulation of fibroblast proliferation	3	2.307692307692308	0.023912093275185464	MED31, MED9, TP53	127	37	19453	12.419450947010002	0.9999999999392926	1.0	1.0
protein transport	8	6.153846153846154	0.025617546093106687	EIF5A, TOM1L2, ACAP1, RABEP1, VPS53, NUP88, ARRB2, VAMP2	127	444	19453	2.759877988224445	0.9999999999889074	1.0	1.0
ameboidal-type cell migration	2	1.5384615384615385	0.025659924023177783	CENPV, PAFAH1B1	127	4	19453	76.58661417322834	0.9999999999893666	1.0	1.0
histone H4 acetylation	3	2.307692307692308	0.030274097135046044	PER1, USP22, TRIM16	127	42	19453	10.940944881889763	0.9999999999998946	1.0	1.0
protein import into nucleus	4	3.076923076923077	0.03159902430327172	RPAIN, RANGRF, NUP88, TP53	127	106	19453	5.780121824394592	0.9999999999999721	1.0	1.0
cellular response to sorbitol	2	1.5384615384615385	0.031972168846282824	MAP2K3, MAP2K4	127	5	19453	61.269291338582676	0.9999999999999808	1.0	1.0
nuclear envelope disassembly	2	1.5384615384615385	0.031972168846282824	PAFAH1B1, NDEL1	127	5	19453	61.269291338582676	0.9999999999999808	1.0	1.0
protein targeting	3	2.307692307692308	0.03437712233985185	YWHAE, MYO1C, GABARAP	127	45	19453	10.211548556430445	0.9999999999999983	1.0	1.0
negative regulation of transcription, DNA-templated	9	6.923076923076923	0.038502738901063614	PER1, RASD1, NCOR1, MYBBP1A, DHRS7B, INPP5K, CHD3, TP53, ZBTB4	127	591	19453	2.332587233702386	1.0	1.0	1.0
histone H3 acetylation	3	2.307692307692308	0.041661356252381265	PER1, USP22, TRIM16	127	50	19453	9.190393700787402	1.0	1.0	1.0
response to retinoic acid	3	2.307692307692308	0.041661356252381265	SREBF1, TRIM16, OVCA2	127	50	19453	9.190393700787402	1.0	1.0	1.0
signal transduction	15	11.538461538461538	0.043527193331512275	MAP2K3, YWHAE, MAP2K4, TNFSF13, ARRB2, CXCL16, TOM1L2, COPS3, ABR, AKAP10, TMEM102, RASD1, RABEP1, DRG2, CRK	127	1307	19453	1.7579176933411251	1.0	1.0	1.0
positive regulation of transcription elongation from RNA polymerase II promoter	3	2.307692307692308	0.04472319031721201	MED11, MED31, MED9	127	52	19453	8.836917019987887	1.0	1.0	1.0
apoptotic process	9	6.923076923076923	0.04823913655320301	MAP2K4, TMEM102, RABEP1, PLSCR3, C1QBP, NLRP1, XAF1, TP53, NTN1	127	619	19453	2.2270744024525206	1.0	1.0	1.0
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	2	1.5384615384615385	0.05066650867150332	EIF5A, UBB	127	8	19453	38.29330708661417	1.0	1.0	1.0
activation of GTPase activity	4	3.076923076923077	0.05150948347886674	ABR, TAX1BP3, CRK, NDEL1	127	129	19453	4.749557468107184	1.0	1.0	1.0
lipid metabolic process	5	3.8461538461538463	0.055693552384543515	SREBF1, ACADVL, PITPNA, CRK, COX10	127	221	19453	3.4654576548972105	1.0	1.0	1.0
positive regulation of transcription initiation from RNA polymerase II promoter	3	2.307692307692308	0.05605850539713069	MED11, MED31, MED9	127	59	19453	7.788469237955425	1.0	1.0	1.0
reelin-mediated signaling pathway	2	1.5384615384615385	0.05681801393720069	CRK, PAFAH1B1	127	9	19453	34.038495188101486	1.0	1.0	1.0
RNA polymerase II transcriptional preinitiation complex assembly	3	2.307692307692308	0.059463706523782876	MED11, MED31, MED9	127	61	19453	7.533109590809345	1.0	1.0	1.0
negative regulation of production of miRNAs involved in gene silencing by miRNA	2	1.5384615384615385	0.06900263779605768	NCOR1, TP53	127	11	19453	27.849677881173942	1.0	1.0	1.0
retrograde axonal transport	2	1.5384615384615385	0.06900263779605768	PAFAH1B1, NDEL1	127	11	19453	27.849677881173942	1.0	1.0	1.0
vesicle-mediated transport	5	3.8461538461538463	0.06917062039374544	TRAPPC1, RABEP1, KIF1C, TVP23B, VAMP2	127	238	19453	3.217924965261695	1.0	1.0	1.0
stress-activated protein kinase signaling cascade	2	1.5384615384615385	0.07503625921682128	MAP2K3, NLRP1	127	12	19453	25.528871391076116	1.0	1.0	1.0
circadian regulation of gene expression	3	2.307692307692308	0.07748770438233965	PER1, RAI1, MYBBP1A	127	71	19453	6.472108239991128	1.0	1.0	1.0
regulation of Rac protein signal transduction	2	1.5384615384615385	0.08698736619406518	CRK, GABARAP	127	14	19453	21.88188976377953	1.0	1.0	1.0
cell cycle	6	4.615384615384616	0.08965897922282645	CENPV, USP22, KCTD11, TM4SF5, TP53, PAFAH1B1	127	366	19453	2.5110365302697817	1.0	1.0	1.0
positive regulation of triglyceride biosynthetic process	2	1.5384615384615385	0.09290534509106596	CTDNEP1, SREBF1	127	15	19453	20.42309711286089	1.0	1.0	1.0
negative regulation of natural killer cell mediated cytotoxicity	2	1.5384615384615385	0.09290534509106596	ARRB2, CRK	127	15	19453	20.42309711286089	1.0	1.0	1.0
positive regulation of ruffle assembly	2	1.5384615384615385	0.09290534509106596	PFN1, NDEL1	127	15	19453	20.42309711286089	1.0	1.0	1.0
cerebral cortex development	3	2.307692307692308	0.09899311243977751	YWHAE, CRK, PAFAH1B1	127	82	19453	5.6038985980410985	1.0	1.0	1.0
