Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
protein destabilization	5	2.314814814814815	0.0021072255315322543	SOX17, RNF139, PRKDC, DERL1, PEX2	204	52	19453	9.169023378582201	0.9481581086794122	1.0	1.0
negative regulation of epithelial cell proliferation	5	2.314814814814815	0.005010141378475787	RIDA, PEX2, EPPK1, MTSS1, STK3	204	66	19453	7.224079025549615	0.9991298945132915	1.0	1.0
negative regulation of fibroblast proliferation	4	1.8518518518518516	0.006701579235731635	PARP10, MYC, TP53INP1, PEX2	204	37	19453	10.308956014838367	0.9999200382623479	1.0	1.0
translation	8	3.7037037037037033	0.008256017212186289	RPL30, COPS5, AGO2, RPS20, MRPL15, RPL8, MRPL13, RPL7	204	219	19453	3.4833915301280327	0.9999911161228758	1.0	1.0
lipopolysaccharide-mediated signaling pathway	4	1.8518518518518516	0.00953206571154149	LYN, RIPK2, LY96, MTDH	204	42	19453	9.081699346405228	0.9999985408181192	1.0	1.0
positive regulation of translation	5	2.314814814814815	0.012572630047168838	YTHDF3, PRKDC, MYC, AGO2, EIF3E	204	86	19453	5.5440606475148195	0.9999999804682611	1.0	1.0
rRNA processing	6	2.7777777777777777	0.014530150256051453	BOP1, EXOSC4, CHD7, UTP23, DCAF13, RPL7	204	137	19453	4.1762559038213825	0.9999999987932748	1.0	1.0
cellular response to extracellular stimulus	3	1.3888888888888888	0.01648908721584564	GSDMD, LYN, PLEC	204	19	19453	15.056501547987617	0.9999999999260064	1.0	1.0
translational initiation	4	1.8518518518518516	0.019742496344721385	COPS5, AGO2, EIF3H, EIF3E	204	55	19453	6.935115864527629	0.9999999999992916	1.0	1.0
intermediate filament cytoskeleton organization	3	1.3888888888888888	0.019975783753100506	FAM83H, EPPK1, PLEC	204	21	19453	13.622549019607842	0.9999999999994927	1.0	1.0
toll-like receptor 4 signaling pathway	3	1.3888888888888888	0.029882916023324206	LYN, RIPK2, LY96	204	26	19453	11.002828054298643	1.0	1.0	1.0
protein ubiquitination	11	5.092592592592593	0.03698679847348425	VCPIP1, RNF139, MED30, RNF19A, UBE2V2, WWP1, PEX2, ELOC, FBXO32, DCAF13, PCMTD1	204	499	19453	2.102076702424457	1.0	1.0	1.0
metanephros development	3	1.3888888888888888	0.038929558980174764	OSR2, SOX17, RDH10	204	30	19453	9.53578431372549	1.0	1.0	1.0
