Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
regulation of transcription, DNA-templated	46	13.105413105413104	4.492439204036874E-9	ZNF430, ZNF254, ZNF791, ZNF493, ZNF490, MLLT1, ZNF44, ZNF69, ZNF708, SBNO2, ZNF506, ZNF627, KHSRP, ZNF846, ZNF823, SAFB2, ZNF844, ZNF426, ZNF700, ZNF266, BRD4, ZNF100, ZNF562, ZNF561, ZNF440, TLE2, INSR, DAPK3, RFX2, SAFB, ZNF57, SMARCA4, TLE5, DNM2, ZNF91, ZNF93, ZNF738, CARM1, ZNF714, ZNF317, ZNF414, ZNF557, TCF3, CALR, ZNF675, ZNF431	334	1014	19453	2.6421653733952217	6.8419615082415675E-6	6.841984907748159E-6	6.841984907748159E-6
regulation of transcription from RNA polymerase II promoter	55	15.669515669515668	1.218900112232816E-5	ZNF254, ZNF493, ZNF490, ZNF44, MED16, ZNF846, ZNF844, JUNB, PIAS4, ZNF562, ZNF561, ZNF440, ZNF121, RFX2, RFX1, SAFB, ZNF57, KLF16, ZNF91, ZNF93, ZNF714, ZNF317, ZNF557, ZNF358, HDGFL2, ZNF430, ZNF791, NFIX, ELOF1, WIZ, ZNF69, FSTL3, ZNF708, ZNF627, ZNF506, NACC1, ZNF823, SAFB2, ZNF426, ZNF700, ZBTB7A, ZNF266, ZNF100, JUND, ARID3A, RFXANK, KLF2, NR2F6, SMARCA4, NFIC, TCF3, PKN1, ZNF699, ZNF136, CC2D1A	334	1736	19453	1.845240969673556	0.018392712831891256	0.009281924354652894	0.009281924354652894
negative regulation of transcription from RNA polymerase II promoter	35	9.971509971509972	1.5132789533442383E-4	KANK2, ZNF254, NOTCH3, DNMT1, NFIX, UHRF1, ZNF69, DNAJB1, SIN3B, MIER2, NACC1, ZNF846, SAMD1, ZBTB7A, ZNF266, PIAS4, MBD3, ZNF440, JUND, SIRT6, KLF16, KLF2, SMARCA4, NR2F6, GATAD2A, TLE5, ZNF91, ZNF93, NFIC, ZNF557, TCF3, CALR, ZNF675, ZNF136, ZNF431	334	1016	19453	2.006385850346551	0.2058554844630187	0.07682412819810916	0.07682412819810916
chromatin organization	15	4.273504273504273	0.0013837780459794486	KDM4B, GPX4, UHRF1, DAPK3, DOT1L, SAFB, SMARCA4, BABAM1, CARM1, PWWP3A, HMG20B, PKN1, SAMD1, ZBTB7A, BRD4	334	322	19453	2.7131606352512367	0.8786350870772005	0.3728046297101214	0.3728046297101214
phylloquinone catabolic process	3	0.8547008547008548	0.0017134815548068612	CYP4F3, CYP4F11, CYP4F12	334	4	19453	43.68188622754491	0.9266028919302316	0.3728046297101214	0.3728046297101214
menaquinone catabolic process	3	0.8547008547008548	0.0017134815548068612	CYP4F3, CYP4F11, CYP4F12	334	4	19453	43.68188622754491	0.9266028919302316	0.3728046297101214	0.3728046297101214
vitamin K catabolic process	3	0.8547008547008548	0.0017134815548068612	CYP4F3, CYP4F11, CYP4F12	334	4	19453	43.68188622754491	0.9266028919302316	0.3728046297101214	0.3728046297101214
leukotriene B4 catabolic process	3	0.8547008547008548	0.0028234948061454167	CYP4F3, CYP4F11, CYP4F12	334	5	19453	34.945508982035925	0.9865161797567155	0.5375228237199337	0.5375228237199337
mitochondrial ATP synthesis coupled proton transport	6	1.7094017094017095	0.00509110569266418	NDUFA13, NDUFA7, NDUFB7, NDUFS7, NDUFA11, ATP5F1D	334	65	19453	5.37623215108245	0.9995792866386333	0.8615282188808384	0.8615282188808384
aerobic respiration	6	1.7094017094017095	0.006164422795850619	NDUFA13, NDUFA7, NDUFB7, NDUFS7, NDUFA11, ATP5F1D	334	68	19453	5.139045438534695	0.9999187087744003	0.9388415918080494	0.9388415918080494
phagocytosis	6	1.7094017094017095	0.006962574301290789	CNN2, ICAM3, ABCA7, PIP5K1C, LDLR, DNM2	334	70	19453	4.992215568862275	0.9999760870040573	0.9640000600787157	0.9640000600787157
transferrin transport	3	0.8547008547008548	0.012006012060329667	MCOLN1, DNM2, RAB11B	334	10	19453	17.472754491017962	0.999999989748162	1.0	1.0
