Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cytoplasmic translation	GOTERM_BP_DIRECT	71	13.27102803738318	2.8809333855349833e-93	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPL18A, RPS18, RPL36, RACK1, RPLP2, RPL35, RPL37, RPL39, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPS3A, RPSA, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, RPL10, RPL12, RPL11, RPL36A, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, RPL41, TMA7, RPL35A, RPL23A, RPS25, RPS28, RPL27A, RPS20, FAU, RPS21, RPS24, RPS23	513	91	19453	29.58599490178437	7.36078480004188e-90	7.36078480004188e-90	7.262833064933692e-90
translation	GOTERM_BP_DIRECT	82	15.32710280373832	1.863433084461629e-71	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, MRPL33, RPL7, MRPL4, RPS4X, RPS15, MRPL41, RPS14, MRPL3, RPL7A, RPS17, RPL18A, RPS18, RPL36, RACK1, RPLP2, RPL35, RPL37, RPL39, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, MRPS21, RPS3A, RPSA, EEF1A1, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, RPL10, RPL12, RPL11, RPL36A, MRPL16, MRPL17, MRPL15, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, RPL41, RPL35A, RPL23A, MRPL24, RPS25, RPS28, NACA, RPL27A, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23	513	219	19453	14.198385359644673	4.7610715307994625e-68	2.3805357653997313e-68	2.348857402963884e-68
ribosomal small subunit biogenesis	GOTERM_BP_DIRECT	20	3.738317757009345	3.8960233764624316e-14	NPM1, RPS9, RPS7, IMP3, RPS8, DIMT1, RPS5, RPS6, RPS3A, RPS15, RPS4X, RPS14, RPS25, RPS17, RPS28, RPS15A, RPS24, RPS13, RPS23, RPS12	513	74	19453	10.248669722353931	9.956535595989636e-11	3.31811324228717e-11	3.2739583106872633e-11
mitochondrial ATP synthesis coupled proton transport	GOTERM_BP_DIRECT	18	3.364485981308411	6.243577087426521e-13	MT-ND6, ATP5PF, MT-ND4L, NDUFA8, STOML2, NDUFA11, ATP5PB, NDUFC1, SDHC, ATP5F1D, ATP5F1A, NDUFS8, ATP5F1B, NDUFS5, NDUFAB1, NDUFV3, ATP5MG, ATP5ME	513	65	19453	10.50094466936572	1.5953149912206754e-09	3.9880848645936897e-10	3.935014459350565e-10
hydrogen ion transmembrane transport	GOTERM_BP_DIRECT	22	4.112149532710281	1.3268246124855084e-10	COX8A, ATP5PF, CYB5A, ATP6V1G1, ATP6V0B, ATP6V0E1, ATP5PB, SLC11A2, ATP5MC2, ATP5MC3, COX5A, ATP5F1D, UQCRH, ATP5MC1, ATP5F1A, ATP5F1B, UCP2, CYC1, SLC25A4, ATP5MG, ATP6V0C, ATP5ME	513	141	19453	5.916607910635532	3.390035272499148e-07	6.780073769800946e-08	6.689849696151933e-08
aerobic respiration	GOTERM_BP_DIRECT	16	2.990654205607477	2.0231324393919763e-10	MT-ND6, MT-ND4L, NDUFA8, UQCRB, NDUFA11, MDH2, NDUFC1, SDHC, ATP5F1D, UQCRH, NDUFS8, NDUFS5, NDUFAB1, CAT, UQCRC2, NDUFV3	513	68	19453	8.922371287696365	5.169102897939482e-07	8.615172304410832e-08	8.500528132845287e-08
ATP synthesis coupled proton transport	GOTERM_BP_DIRECT	11	2.0560747663551404	8.24982411409646e-10	ATP5PF, ATP5F1A, ATP5F1B, ATP5PB, ATP5MC2, ATP5MC3, ATP5F1D, ATP5MG, ATP6V0C, ATP5MC1, ATP5ME	513	27	19453	15.448920655548337	2.107827851594024e-06	3.0111858016452077e-07	2.97111522737674e-07
glycolytic process	GOTERM_BP_DIRECT	11	2.0560747663551404	3.1554327181038663e-07	GPI, PKM, TPI1, PGAM1, UCP2, PGK1, ENO1, ALDOA, GAPDH, PGM1, HK1	513	47	19453	8.874911865953301	0.0008058882842294501	0.00010077663243444223	9.943557352924809e-05
translational elongation	GOTERM_BP_DIRECT	8	1.4953271028037385	4.835770107372539e-07	EIF5A, EEF1G, EEF1A1, EEF1B2, EEF1D, RPLP1, EEF2, TUFM	513	20	19453	15.16803118908382	0.0012347765965047275	0.00013728214027040932	0.00013545529378540189
rRNA processing	GOTERM_BP_DIRECT	17	3.177570093457944	6.634525511693495e-07	RPL5, RPS7, IMP3, RPS6, RPL11, DDX21, RPL35A, NPM3, RPL7, RPS15, RPS25, RPS17, RPS28, RPL14, RPL27, RPL26, RPS24	513	137	19453	4.705411135299724	0.0016936859228776635	0.00016951212682376883	0.00016725638814979305
