	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
KRT20	1.91229155947271e-138	2.73211881671899	0.891	0.558	2.94110441846903e-134	Epithelial cells 1	KRT20
SHKBP1	4.19618588878752e-137	1.33918177621917	0.955	0.704	6.4537338969552e-133	Epithelial cells 1	SHKBP1
PSMC4	5.80426573155545e-137	1.45915318996396	0.975	0.879	8.92696069513228e-133	Epithelial cells 1	PSMC4
C12orf75	2.11498057804995e-133	1.637155199582	0.981	0.837	3.25284012904082e-129	Epithelial cells 1	C12orf75
JSRP1	1.40095228436792e-132	1.10504626570983	0.639	0.085	2.15466461335786e-128	Epithelial cells 1	JSRP1
FXYD2	1.71262193536748e-131	2.31764527747277	0.822	0.391	2.63401253659518e-127	Epithelial cells 1	FXYD2
GDF15	2.65409249308849e-131	2.3818878589236	0.967	0.805	4.0819942543701e-127	Epithelial cells 1	GDF15
UBC	3.5367388489388e-127	1.05627804420726	1	0.998	5.43950434966787e-123	Epithelial cells 1	UBC
CCL20	1.8086331399882e-121	3.05268481507906	0.873	0.517	2.78167776930186e-117	Epithelial cells 1	CCL20
MMP7	1.14130125843864e-118	2.28112982673618	0.961	0.697	1.75532133547863e-114	Epithelial cells 1	MMP7
RAP2B	2.9322641724504e-118	1.23531673054829	0.88	0.521	4.50982229722872e-114	Epithelial cells 1	RAP2B
QPCT	3.19358525995159e-118	1.1284128988392	0.778	0.295	4.91173412980555e-114	Epithelial cells 1	QPCT
IGFBP7	5.86049243000827e-118	1.53855490691008	0.847	0.439	9.01343735735272e-114	Epithelial cells 1	IGFBP7
HPN	1.20317860881042e-117	1.03349909077395	0.573	0.068	1.85048870035042e-113	Epithelial cells 1	HPN
ANXA4	1.4440087062144e-117	1.27780440164549	0.999	0.927	2.22088539015775e-113	Epithelial cells 1	ANXA4
KLF6	2.57190016628943e-115	1.48129317378298	0.973	0.832	3.95558245575314e-111	Epithelial cells 1	KLF6
BTG1	9.75780742970443e-112	1.22406486804848	0.985	0.861	1.50075078268854e-107	Epithelial cells 1	BTG1
C15orf48	3.19128795959737e-109	1.57511107020065	0.954	0.694	4.90820088186075e-105	Epithelial cells 1	C15orf48
SPINT2	4.90403001608103e-109	0.686790192788614	1	1	7.54239816473262e-105	Epithelial cells 1	SPINT2
CDH16	2.24422395365152e-105	0.924670572562484	0.534	0.068	3.45161644071604e-101	Epithelial cells 1	CDH16
PLD3	5.66864557561185e-104	1.11584995449343	0.937	0.764	8.71837689529103e-100	Epithelial cells 1	PLD3
TIMP2	2.57283069525304e-103	1.10277445433056	0.642	0.155	3.95701360929918e-99	Epithelial cells 1	TIMP2
PAX8	3.36859050718786e-103	1.13171785683204	0.895	0.588	5.18089220005494e-99	Epithelial cells 1	PAX8
ZBTB20	5.17676908343419e-103	0.955750414378646	0.931	0.645	7.96187085032179e-99	Epithelial cells 1	ZBTB20
GPX4	6.53555913329512e-103	1.05949793680634	0.991	0.968	1.00516899470079e-98	Epithelial cells 1	GPX4
DUSP5	2.03063076988643e-102	1.88182437116711	0.749	0.378	3.12311012408533e-98	Epithelial cells 1	DUSP5
RPS16	2.46677439511981e-102	1.22357203678428	0.999	1	3.79389901969426e-98	Epithelial cells 1	RPS16
TNFRSF11B	5.10111963385159e-102	1.47936328722038	0.653	0.194	7.84552199686374e-98	Epithelial cells 1	TNFRSF11B
HHLA2	5.67774515665673e-102	0.92062247961512	0.632	0.147	8.73237205093805e-98	Epithelial cells 1	HHLA2
SUPT5H	2.00103237876692e-101	0.977946482047866	0.936	0.714	3.07758779854353e-97	Epithelial cells 1	SUPT5H
ZFP36	7.92090208502359e-101	1.92086089474155	0.987	0.943	1.21823474067663e-96	Epithelial cells 1	ZFP36
RAMP1	8.53492964519532e-101	1.20556426710845	0.789	0.406	1.31267217943104e-96	Epithelial cells 1	RAMP1
CDH6	9.29511999358995e-101	1.02811237606018	0.651	0.173	1.42958945501413e-96	Epithelial cells 1	CDH6
TM4SF1	4.47389506569516e-100	1.40835771501	0.981	0.794	6.88085061103916e-96	Epithelial cells 1	TM4SF1
PKN1	2.82204755609516e-99	0.785852270944476	0.612	0.135	4.34030914127436e-95	Epithelial cells 1	PKN1
