Description	NES	pvalue
immunoglobulin production	2.15198914520392	5.16033157200323e-11
T cell mediated cytotoxicity	2.06452951557589	3.37903237654334e-06
positive regulation of cell killing	1.96955310064327	3.11752157479501e-05
antigen processing and presentation	1.90500182968963	4.97153862567173e-05
protein refolding	1.88429411482699	0.00019578260092936
positive regulation of interleukin-8 production	1.87423260912287	0.000343068764183061
regulation of Rho protein signal transduction	1.86726982263337	0.000512414150202036
T cell mediated immunity	1.83620546617136	0.000151790138716553
B cell mediated immunity	1.81170697741588	5.97086480279422e-05
skeletal muscle adaptation	-1.82470295867907	0.000515009627254948
response to growth hormone	-1.88310110328158	0.000301649872564957
striated muscle adaptation	-1.90174260250939	0.000158979656855006
epidermis morphogenesis	-1.91644477827144	0.000635813193827303
cellular response to cAMP	-1.95599604144462	4.76041683690185e-05
