Description	NES	pvalue
Antigen processing and presentation	2.12923119877934	4.94674382633068e-08
Autoimmune thyroid disease	1.9507030965867	9.00958989196488e-05
Graft-versus-host disease	1.9372905728797	2.25776589702666e-05
Allograft rejection	1.93161211156687	0.000139861920511689
Type I diabetes mellitus	1.9152886351606	2.70996267972952e-05
Systemic lupus erythematosus	1.7919709348382	0.000167829955670271
ECM-receptor interaction	1.7222274477249	0.000675475964301237
Endocytosis	1.64597099817898	0.000222589307308597
Regulation of actin cytoskeleton	1.61724858844807	0.00090363778181254
Human papillomavirus infection	1.58451586967355	0.000556760299508607
Steroid hormone biosynthesis	-1.77192383214801	0.00178267697599042
Ovarian steroidogenesis	-1.77703488686405	0.00138710525771564
Metabolism of xenobiotics by cytochrome P450	-1.87263929737655	0.00153270303907355
Steroid biosynthesis	-1.89345554057482	0.00121856678259722
Chemical carcinogenesis - DNA adducts	-1.93254899947627	0.000607785559067884
