ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04612	Antigen processing and presentation	69	0.848828087976418	2.12923119877934	4.94674382633068e-08	1.6769461571261e-05	1.43715925901818e-05	695	tags=36%, list=4%, signal=35%	HLA-B/HSPA1B/HSPA1A/HSPA6/CD74/HSP90AA1/B2M/HLA-A/HLA-E/CTSB/HSPA8/HLA-C/HLA-DRA/HSPA2/TAP1/HLA-DRB1/PSME2/HLA-DPA1/HLA-F/PSME1/HLA-DQA1/HLA-DRB5/TAPBP/HSPA4/HLA-DPB1
hsa05320	Autoimmune thyroid disease	34	0.850132442335236	1.9507030965867	9.00958989196488e-05	0.00763562743344024	0.0065438073952166	695	tags=32%, list=4%, signal=31%	HLA-B/HLA-A/HLA-E/HLA-C/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-F/HLA-DQA1/HLA-DRB5/HLA-DPB1
hsa05332	Graft-versus-host disease	38	0.843746433953877	1.9372905728797	2.25776589702666e-05	0.00306225782809436	0.00262438491089596	695	tags=29%, list=4%, signal=28%	HLA-B/HLA-A/HLA-E/HLA-C/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-F/HLA-DQA1/HLA-DRB5/HLA-DPB1
hsa05330	Allograft rejection	34	0.841812434154652	1.93161211156687	0.000139861920511689	0.00948239249537033	0.00812650311666577	695	tags=32%, list=4%, signal=31%	HLA-B/HLA-A/HLA-E/HLA-C/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-F/HLA-DQA1/HLA-DRB5/HLA-DPB1
hsa04940	Type I diabetes mellitus	39	0.830845814022446	1.9152886351606	2.70996267972952e-05	0.00306225782809436	0.00262438491089596	695	tags=31%, list=4%, signal=30%	HLA-B/HLA-A/HLA-E/HLA-C/HLA-DRA/HLA-DRB1/HSPD1/HLA-DPA1/HLA-F/HLA-DQA1/HLA-DRB5/HLA-DPB1
hsa05322	Systemic lupus erythematosus	114	0.666119803110891	1.7919709348382	0.000167829955670271	0.00948239249537033	0.00812650311666577	2421	tags=30%, list=15%, signal=26%	C1R/C1S/HLA-DRA/H2AZ1/HLA-DRB1/H4C3/H2AX/HLA-DPA1/C4B/C4A/HLA-DQA1/H2AJ/HLA-DRB5/ACTN4/ACTN1/H3-3A/HLA-DPB1/H2AC17/IL10/H2AC6/SNRPB/H2AC20/HLA-DQA2/C2/SSB/HLA-DQB1/H2BC12/H2AZ2/H2BC8/H2AC11/H2BC11/H3C2/H4C8/HLA-DMA
hsa04512	ECM-receptor interaction	81	0.673882345871219	1.7222274477249	0.000675475964301237	0.0228986351898119	0.0196243543312781	852	tags=25%, list=5%, signal=24%	THBS1/ITGA1/FN1/ITGA8/THBS2/COL4A2/LAMB1/COL6A2/COL6A1/LAMA2/COL4A1/COMP/TNC/HSPG2/ITGB5/LAMC1/COL6A3/ITGAV/AGRN/LAMA4
hsa04144	Endocytosis	246	0.576091424496452	1.64597099817898	0.000222589307308597	0.0107796821682306	0.00923829305521395	1523	tags=19%, list=9%, signal=18%	HLA-B/HSPA1B/HSPA1A/HSPA6/HLA-A/HLA-E/HSPA8/HLA-C/PDGFRA/HLA-F/CXCR4/ASAP1/TGFBR2/ARPC5/WASL/CYTH3/ARPC3/RAB7A/ACTR3/IGF1R/CAPZB/CDC42/AP2S1/CLTA/WASHC4/EPN2/WASHC1/ARPC1B/HSPA1L/ARPC4/WASHC3/EHD3/CBLB/CAPZA2/PML/ARPC2/ACTR2/RAB8A/VPS4B/GIT2/RAB5A/IGF2R/GRK2/CLTC/WIPF1/TGFBR1/SNX6
hsa04810	Regulation of actin cytoskeleton	208	0.571932525024722	1.61724858844807	0.00090363778181254	0.0278484734576774	0.0238664141416518	1886	tags=27%, list=11%, signal=25%	TMSB4X/F2R/ITGA1/FN1/ITGA8/MYH9/RGCC/PDGFRB/MYL12A/PDGFRA/PFN1/PPP1CA/CXCR4/CFL1/ARPC5/ITGB5/MYLK/ACTN4/ACTN1/PIK3R3/WASL/ARPC3/RAC2/ACTR3/BCAR1/FGFR1/ENAH/RAC1/MYL12B/CDC42/ITGAV/SSH3/ARPC1B/SSH1/ARPC4/VCL/ITGAE/BDKRB2/GNG12/DOCK1/ARPC2/ACTR2/ITGB1/MRAS/PPP1R12C/ITGA11/SPATA13/PAK2/SSH2/LIMK1/RAF1/PPP1R12B/ARAF/MSN/MYL9/ARPC5L/ARHGEF12
hsa05165	Human papillomavirus infection	303	0.54244312793265	1.58451586967355	0.000556760299508607	0.0228932560582236	0.0196197443628931	1871	tags=22%, list=11%, signal=20%	HLA-B/HLA-A/HLA-E/STAT1/THBS1/ITGA1/HLA-C/FN1/ITGA8/THBS2/COL4A2/LAMB1/COL6A2/COL6A1/LAMA2/PDGFRB/CDKN1A/WNT5A/COL4A1/COMP/STAT2/TNC/WNT2/HLA-F/NOTCH3/ITGB5/PIK3R3/ISG15/IRF1/BAX/CCNA1/CDK6/CDC42/LAMC1/COL6A3/ITGAV/ATP6V1F/MX1/CCND3/ATP6V1B2/LAMA4/IRF9/PSEN1/PKM/TBK1/ATP6V0B/HES4/ITGB1/PTEN/ITGA11/PRKACA/CCNA2/UBR4/PPP2R3C/ATR/FOXO1/RAF1/EIF4EBP1/DVL3/FZD6/GRB2/FZD1/FADD/CREB3L2/IKBKB/MX2/ATP6V1A
hsa00140	Steroid hormone biosynthesis	45	-0.680957780122358	-1.77192383214801	0.00178267697599042	0.0402884996573834	0.0345276382718144	1528	tags=20%, list=9%, signal=18%	SRD5A3/CYP11A1/HSD17B11/AKR1C3/HSD17B8/AKR1C2/HSD17B12/HSD11B2/CYP1B1
hsa04913	Ovarian steroidogenesis	39	-0.710101291973088	-1.77703488686405	0.00138710525771564	0.0361714371050464	0.0309992753951026	341	tags=18%, list=2%, signal=18%	CYP11A1/ADCY1/AKR1C3/LDLR/PTGS2/IGF1/CYP1B1
hsa00980	Metabolism of xenobiotics by cytochrome P450	56	-0.692908790721728	-1.87263929737655	0.00153270303907355	0.037113309303281	0.0318064690815263	340	tags=14%, list=2%, signal=14%	GSTA4/GSTM3/GSTM4/GSTM2/AKR7A2/GSTM5/EPHX1/CYP1B1
hsa00100	Steroid biosynthesis	20	-0.839015996153853	-1.89345554057482	0.00121856678259722	0.0344245116083715	0.0295021431576169	1645	tags=50%, list=10%, signal=45%	SC5D/LIPA/DHCR24/DHCR7/NSDHL/CYP51A1/LBR/SQLE/MSMO1/FDFT1
hsa05204	Chemical carcinogenesis - DNA adducts	52	-0.729400278458069	-1.93254899947627	0.000607785559067884	0.0228932560582236	0.0196197443628931	861	tags=19%, list=5%, signal=18%	SULT1A1/GSTA4/GSTM3/AKR1C2/GSTM4/GSTM2/PTGS2/GSTM5/EPHX1/CYP1B1
