	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGKV1-9	1.22705433274935e-13	3.95253199272358	0.049	0.001	2.08869188520594e-09
IGLV3-19	9.14073451855284e-55	3.83515335662253	0.239	0.01	1.55593582974806e-50
IGHV3-11	0.00036021302466549	2.9448098070407	0.018	0.002	1
IGHV3-64	0.0380730144618848	2.9193233537004	0.004	0	1
IGKV3-15	6.04266609509628e-05	2.53186566708401	0.035	0.007	1
IGKV1D-13	0.000322254871162832	2.16485401189489	0.011	0	1
IGKV1-6	0.0183410532299061	2.11078836898304	0.011	0.002	1
HLA-B	3.16040848045593e-87	1.93142690091866	0.989	0.8	5.37964731543209e-83
HSPA1B	1.28725264462755e-54	1.78846514605652	0.933	0.756	2.19116145168502e-50
HSPA1A	1.55357437926008e-43	1.70674672382082	0.923	0.827	2.64449430837651e-39
HSPA6	8.68836431341391e-21	1.59927987113168	0.344	0.126	1.47893337342932e-16
EPYC	4.18833838867622e-23	1.34253322006748	0.116	0.008	7.12938960520466e-19
DIO2	1.05733290552452e-33	1.33482309860205	0.825	0.717	1.79979207178383e-29
CD74	1.61001920329261e-12	1.26316142040806	0.491	0.295	2.74057468784468e-08
IGHV3-66	0.00333182093364705	1.21804695106048	0.007	0	1
HSP90AA1	3.29988605480201e-39	1.10933874926122	0.996	0.956	5.61706604248398e-35
IGHG2	3.86607925976314e-16	1.10727673631807	0.13	0.022	6.58084011596882e-12
B2M	7.95413512469689e-57	1.04718141229105	1	0.998	1.35395288092591e-52
MMP11	3.00797937376654e-09	1.03360038321577	0.747	0.727	5.12018249002541e-05
IGKC	6.54825208382464e-22	1.02904239159239	0.312	0.099	1.11464346970863e-17
IGHA1	3.12665461853969e-17	0.922956334648247	0.126	0.019	5.32219149167826e-13
SAT1	8.65084440985685e-35	0.908022201476696	0.912	0.625	1.47254673544583e-30
DNAJB1	2.14703432829842e-19	0.907114896715988	0.832	0.689	3.65468183362956e-15
MGP	2.10905816001709e-20	0.904110787701847	0.923	0.874	3.59003879998109e-16
JCHAIN	0.000134777552642161	0.89480502878032	0.053	0.015	1
HLA-A	7.39756276786813e-42	0.890279231392295	0.982	0.89	1.25921313434651e-37
GEM	2.0864169474332e-18	0.889220642384799	0.677	0.462	3.55149892792079e-14
SPON2	1.47291017451521e-13	0.886818546933352	0.828	0.765	2.5071876990598e-09
IGHV3-53	0.519859485783837	0.884884314981628	0.004	0.002	1
SULF1	3.57252212372113e-41	0.875182430923388	0.618	0.197	6.08114715899811e-37
SFRP2	5.95656791258279e-06	0.846406553803384	0.295	0.181	0.101392699007984
MT-ATP8	1.98271321214264e-33	0.816171564897613	0.961	0.74	3.3749744297092e-29
HSPB1	2.54054683208036e-21	0.804142771579349	0.986	0.961	4.32451881756718e-17
HLA-E	1.64019334399041e-43	0.796634448977228	0.905	0.674	2.79193711014048e-39
A2M	2.52750428953057e-11	0.765385538943076	0.551	0.375	4.30231780163894e-07
IGHG1	9.7127309248316e-51	0.756832763547232	0.414	0.075	1.65330105802483e-46
PSMB9	5.6985355688758e-39	0.756779489233942	0.537	0.187	9.70004724534039e-35
CRYAB	0.00074180794980286	0.752145713575615	0.502	0.431	1
HTRA1	1.40881344981878e-08	0.748835343446836	0.663	0.638	0.000239808225428153
FABP5	6.24538169114144e-12	0.745339890073889	0.305	0.143	1.0630888714661e-07
IGFBP3	8.40041814405827e-14	0.744077152279057	0.53	0.299	1.4299191764816e-09
SOX4	4.65387990723213e-15	0.739512729983237	0.804	0.607	7.92183437809054e-11
RPS10	2.37655426484161e-25	0.734986988113253	0.611	0.394	4.04537066961339e-21
TMSB10	8.88685917159550e-34	0.730452188444717	1	0.997	1.51272116818899e-29
TIMP1	0.000197567995960624	0.729536113955886	0.951	0.982	1
RGS5	6.85960710192047e-06	0.725131118596606	0.158	0.076	0.11676423208889
TMSB4X	2.30222960658344e-13	0.72378949339859	1	0.993	3.91885523632632e-09
IL32	8.18542319741581e-16	0.72261288608275	0.642	0.407	1.39332273666412e-11
C1R	1.73716857097509e-25	0.716669275859789	0.789	0.586	2.9570083415138e-21
F2R	3.31252769710905e-23	0.705669181595458	0.565	0.287	5.63858464601903e-19
ADM	3.58263941544039e-20	0.704141326095523	0.432	0.189	6.09836881296264e-16
MT-ATP6	2.2925719453876e-24	0.702464858493589	0.996	0.956	3.90241596543877e-20
AEBP1	7.58183649575616e-22	0.693034767823596	0.902	0.835	1.29058020830761e-17
IGHV3-43	4.45616961110075e-06	0.690284630262956	0.028	0.002	0.0758529191201569
RND3	1.23117319775523e-15	0.685888404886843	0.579	0.375	2.09570301721895e-11
FHL2	3.15671734687755e-18	0.68369566135783	0.649	0.425	5.37336426785496e-14
DNAJA1	2.52027098106606e-24	0.674360665580651	0.905	0.708	4.29000526397064e-20
HSPH1	1.00311228910113e-21	0.671327154579621	0.66	0.406	1.70749773850795e-17
STAT1	1.82661893126529e-26	0.663885128945046	0.481	0.199	3.10927074479977e-22
HSPE1	9.75679034919894e-15	0.662883770611025	0.804	0.673	1.66080085324064e-10
ANTXR1	4.92678518889766e-18	0.65805791504286	0.761	0.564	8.38637374854159e-14
COL12A1	1.74193580257686e-09	0.648485928966178	0.73	0.647	2.96512312314634e-05
