Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
collagen fibril organization	GOTERM_BP_DIRECT	9	3.75	2.9928932632372886e-06	FKBP10, CRTAP, COL16A1, TNXB, COL14A1, P4HA2, CYP1B1, COL21A1, DPT	229	76	19453	10.059584003677317	0.005092870681152939	0.005105875907082814	0.005090911440766628
regulation of cell growth	GOTERM_BP_DIRECT	8	3.333333333333333	4.9963369509810434e-05	SOCS2, XBP1, IGFBP5, IGFBP4, LTBP4, WFDC1, KAZALD1, IL17RB	229	82	19453	8.287570561295132	0.08170779951904528	0.042618754191868315	0.04249384576809378
proteolysis	GOTERM_BP_DIRECT	16	6.666666666666668	0.0003483474591945725	CFD, F10, ADAM33, PCOLCE, CPZ, PRSS23, WFDC2, C3, SCPEP1, CTSK, MMP23B, DPEP1, MASP1, CTSF, CPVL, TGM2	229	458	19453	2.967601685703934	0.44809773112929263	0.1189089013601372	0.1185603993045682
cell adhesion	GOTERM_BP_DIRECT	18	7.5	0.000387303772648883	FBLN7, LGALS3BP, SRPX, SPON1, TNXB, COL16A1, DPT, NELL2, MFAP4, CXCL12, GPNMB, BSG, CCN5, CERCAM, SSPN, CYP1B1, CD24, CD34	229	566	19453	2.701513725369173	0.4835972128628593	0.1189089013601372	0.1185603993045682
negative regulation of beta-amyloid formation	GOTERM_BP_DIRECT	5	2.083333333333333	0.00039646857830015166	PRNP, SPON1, BIN1, IGF1, APOE	229	30	19453	14.157933042212518	0.49161157672515005	0.1189089013601372	0.1185603993045682
extracellular matrix organization	GOTERM_BP_DIRECT	10	4.166666666666666	0.0004182024666827803	COL16A1, CCDC80, ADAMTSL5, COL14A1, ABI3BP, MMP23B, FBLN1, KAZALD1, FBLN2, MATN2	229	190	19453	4.4709262238565834	0.5101238298301993	0.1189089013601372	0.1185603993045682
negative regulation of smooth muscle cell proliferation	GOTERM_BP_DIRECT	5	2.083333333333333	0.0005759314852510668	IGFBP5, OGN, APOD, APOE, NDRG2	229	33	19453	12.8708482201932	0.6257465959725013	0.1338023032731236	0.13341015115333132
signal transduction	GOTERM_BP_DIRECT	30	12.5	0.0006974994671817831	LGALS3BP, CRABP2, LSP1, NDRG2, C3, FGF7, GPNMB, MDK, OLFML3, CCN5, IGFBP6, CD34, IGFBP5, EDN3, IGFBP4, CLEC11A, ANXA5, ANK2, NRG2, IGF1, PGF, CXCL12, OGN, CDC42EP3, S100A6, SPARCL1, PGR, PLPP3, GAS6, PTGES	229	1307	19453	1.9498301052779288	0.6958849737380058	0.1338023032731236	0.13341015115333132
cytoplasmic translation	GOTERM_BP_DIRECT	7	2.9166666666666665	0.0007058738156260916	RPL41, RPL21, RPL12, RPL36A, RPS3A, RPS2, RPS21	229	91	19453	6.5344306348673165	0.7002018738026737	0.1338023032731236	0.13341015115333132
chaperone-mediated protein folding	GOTERM_BP_DIRECT	5	2.083333333333333	0.0020394606029546787	FKBP11, CRTAP, FKBP2, HSPB6, PPIB	229	46	19453	9.233434592747297	0.9692809589745336	0.3479319788640681	0.3469122485625908
