	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
MMP11	5.9262385819982e-43	2.42069134625497	0.882	0.771	8.27480693204409e-39	Myofibroblasts 1	MMP11
SULF1	9.66180337388443e-43	2.09024101843838	0.521	0.146	1.34907760509548e-38	Myofibroblasts 1	SULF1
COL8A1	2.27021005590054e-42	1.54300546646154	0.462	0.081	3.16989430105393e-38	Myofibroblasts 1	COL8A1
FHL2	1.93224121440194e-40	1.07985314269875	0.723	0.396	2.69798840766942e-36	Myofibroblasts 1	FHL2
SOX4	7.61822179946575e-38	1.11894472657772	0.888	0.663	1.0637323098594e-33	Myofibroblasts 1	SOX4
NREP	2.80065402085055e-36	1.21186287765185	0.763	0.463	3.91055320931363e-32	Myofibroblasts 1	NREP
INHBA	6.81648314594549e-36	1.41080700495042	0.395	0.057	9.51785541668369e-32	Myofibroblasts 1	INHBA
PLAT	1.61922526113265e-34	1.08768348610113	0.528	0.186	2.26092423211952e-30	Myofibroblasts 1	PLAT
MEST	1.79334140313117e-34	1.1268558803654	0.337	0.026	2.50404260119205e-30	Myofibroblasts 1	MEST
DIO2	9.92575765962791e-34	1.15098063791374	0.916	0.764	1.38593354201385e-29	Myofibroblasts 1	DIO2
HSPA1A	1.54864649855912e-33	1.56724776865952	0.952	0.893	2.1623751059381e-29	Myofibroblasts 1	HSPA1A
BGN	3.57924700079396e-31	0.925391744322098	0.981	0.967	4.9977025872086e-27	Myofibroblasts 1	BGN
HSPA1B	1.77244091174189e-30	1.49480365679378	0.904	0.85	2.4748592450652e-26	Myofibroblasts 1	HSPA1B
LBH	3.67755803362143e-30	1.00670977362264	0.405	0.093	5.1349742823456e-26	Myofibroblasts 1	LBH
NTM	8.92697764695187e-30	0.69810469751727	0.276	0.01	1.24647388884389e-25	Myofibroblasts 1	NTM
HSP90AA1	6.52012289466741e-29	0.992925060866295	0.995	0.979	9.10404759782411e-25	Myofibroblasts 1	HSP90AA1
PPFIBP1	6.90517608980692e-28	0.793503094949578	0.455	0.15	9.64169737419741e-24	Myofibroblasts 1	PPFIBP1
ITGA1	7.98954112490063e-28	0.744206494927962	0.292	0.029	1.11557962726987e-23	Myofibroblasts 1	ITGA1
RGS4	2.55632232540987e-27	0.967143369198137	0.283	0.024	3.5693928629698e-23	Myofibroblasts 1	RGS4
COL10A1	1.15065552465578e-26	1.06713014230268	0.262	0.014	1.60666030907687e-22	Myofibroblasts 1	COL10A1
FILIP1L	3.00410047881864e-26	0.855463094615119	0.346	0.072	4.19462549857447e-22	Myofibroblasts 1	FILIP1L
CALD1	5.37846973303083e-26	1.15346663219626	0.971	0.943	7.50995728823094e-22	Myofibroblasts 1	CALD1
DNAJB1	8.92003801458424e-26	1.24965500010521	0.867	0.78	1.2455049079764e-21	Myofibroblasts 1	DNAJB1
ETV1	3.20230209379754e-25	0.537664719573496	0.316	0.053	4.4713744135695e-21	Myofibroblasts 1	ETV1
TPM4	5.04385409542779e-25	0.653210241657648	0.978	0.936	7.04273347344583e-21	Myofibroblasts 1	TPM4
PAM	7.14024028583161e-25	0.724593385429428	0.905	0.8	9.96991751110668e-21	Myofibroblasts 1	PAM
LOXL2	1.22525643082965e-24	0.831206506977174	0.471	0.189	1.71082555436744e-20	Myofibroblasts 1	LOXL2
THBS1	3.14373674345375e-24	1.21383860409277	0.579	0.298	4.38959961488448e-20	Myofibroblasts 1	THBS1
TMSB10	5.25789542348027e-24	0.678479279877504	1	1	7.3415993798055e-20	Myofibroblasts 1	TMSB10
CTHRC1	1.27161524053168e-23	1.04565473649926	0.486	0.205	1.77555636035439e-19	Myofibroblasts 1	CTHRC1
WNT5A	1.66678023381296e-22	0.624957024783459	0.284	0.048	2.32732524047303e-18	Myofibroblasts 1	WNT5A
TCF4	1.67980894196762e-22	0.569876118305222	0.96	0.897	2.34551722566939e-18	Myofibroblasts 1	TCF4
COL5A2	2.25698323359115e-22	0.879980619425973	0.87	0.74	3.15142568906332e-18	Myofibroblasts 1	COL5A2
RUNX1	2.70347772977311e-22	0.703701828844553	0.398	0.136	3.7748659540822e-18	Myofibroblasts 1	RUNX1
HSPA8	4.70138469873045e-22	0.649717572365466	0.996	0.99	6.56454345483733e-18	Myofibroblasts 1	HSPA8
NNMT	1.36516055486052e-21	0.699207340670775	0.68	0.411	1.90617368275174e-17	Myofibroblasts 1	NNMT
LMO7	2.0354684075428e-21	0.509844024469519	0.263	0.041	2.84212453745201e-17	Myofibroblasts 1	LMO7
IL32	2.35366874101178e-21	0.968428919752581	0.572	0.317	3.28642766307475e-17	Myofibroblasts 1	IL32
PKIG	3.47746173732216e-21	0.574579048131335	0.794	0.57	4.85557982382293e-17	Myofibroblasts 1	PKIG
ANKRD10	4.38941921683367e-21	0.639413139485586	0.613	0.358	6.12894605246486e-17	Myofibroblasts 1	ANKRD10
KIAA1217	2.16383059793099e-20	0.604854141155332	0.294	0.069	3.02135666389103e-16	Myofibroblasts 1	KIAA1217
PLAU	2.89664011969997e-20	0.970082463253379	0.307	0.081	4.04457859913707e-16	Myofibroblasts 1	PLAU
SAT1	5.02588747619106e-20	0.893284357045538	0.837	0.692	7.01764668300557e-16	Myofibroblasts 1	SAT1
F2R	5.2686189570022e-20	0.711252577662466	0.464	0.205	7.35657264966217e-16	Myofibroblasts 1	F2R
ANTXR1	6.84800960504839e-20	0.840041000907473	0.786	0.628	9.56187581152907e-16	Myofibroblasts 1	ANTXR1
FRY	8.04358815955498e-20	0.441034866550867	0.25	0.038	1.12312621471866e-15	Myofibroblasts 1	FRY
PHLDA1	1.28333734790218e-19	0.931207857875981	0.534	0.284	1.79192393887582e-15	Myofibroblasts 1	PHLDA1
A2M	1.42638321725492e-19	0.783535139484113	0.599	0.341	1.99165888625304e-15	Myofibroblasts 1	A2M
F13A1	1.66883683406032e-19	0.759788859746177	0.331	0.098	2.33019687139842e-15	Myofibroblasts 1	F13A1
AHR	1.89061290058852e-19	0.445510856515371	0.299	0.072	2.63986279309176e-15	Myofibroblasts 1	AHR
TNFRSF12A	2.08942539228273e-19	0.855371966599352	0.374	0.143	2.91746467524438e-15	Myofibroblasts 1	TNFRSF12A
HSPA2	4.30054406173782e-19	0.517315415618764	0.303	0.081	6.00484967340452e-15	Myofibroblasts 1	HSPA2
ACTN1	6.25689463970368e-19	0.628984816536544	0.838	0.697	8.73650198541824e-15	Myofibroblasts 1	ACTN1
MRPS6	1.65772204866449e-18	0.734532565569752	0.706	0.532	2.31467729655022e-14	Myofibroblasts 1	MRPS6
PTMA	2.10615155461464e-18	0.45629807429188	1	1	2.94081941570842e-14	Myofibroblasts 1	PTMA
C4orf48	2.49010693171157e-18	0.523481200288202	0.454	0.212	3.47693630874887e-14	Myofibroblasts 1	C4orf48
ENTPD1	5.71868244506439e-18	0.567620890672628	0.269	0.062	7.9849962980434e-14	Myofibroblasts 1	ENTPD1
HSPH1	7.27854300727472e-18	0.884486967882628	0.667	0.47	1.01630296010577e-13	Myofibroblasts 1	HSPH1
APCDD1	1.09013044323104e-17	0.655207322558217	0.359	0.134	1.52214913788349e-13	Myofibroblasts 1	APCDD1
MARCKSL1	1.77804313886423e-17	0.574894486114693	0.726	0.513	2.48268163479612e-13	Myofibroblasts 1	MARCKSL1
B2M	1.80756079191618e-17	0.562443973645104	1	1	2.52389713375257e-13	Myofibroblasts 1	B2M
SLC5A3	2.88965106136447e-17	0.631081499506283	0.324	0.112	4.03481977698321e-13	Myofibroblasts 1	SLC5A3
SFRP2	6.0494410544085e-17	1.91284500324761	0.32	0.107	8.44683454427058e-13	Myofibroblasts 1	SFRP2
PDLIM5	7.26054107285296e-17	0.615724733244427	0.38	0.16	1.01378935000246e-12	Myofibroblasts 1	PDLIM5
ARL4C	7.77975019665548e-17	0.493496555085133	0.27	0.069	1.08628651995901e-12	Myofibroblasts 1	ARL4C
WNT2	1.00253447316511e-16	0.657723686121673	0.52	0.31	1.39983888488045e-12	Myofibroblasts 1	WNT2
GLIPR1	1.62909533772278e-16	0.531709786358789	0.364	0.143	2.27470582006232e-12	Myofibroblasts 1	GLIPR1
LTBP2	2.44943373402438e-16	0.643695557105391	0.546	0.32	3.42014432281824e-12	Myofibroblasts 1	LTBP2
NET1	2.49317662136596e-16	0.553999509645824	0.284	0.086	3.48122251641328e-12	Myofibroblasts 1	NET1
COL12A1	2.7192274415663e-16	0.90319139032154	0.83	0.735	3.79685727665903e-12	Myofibroblasts 1	COL12A1
PRDM1	8.11264631314194e-16	0.566439843172693	0.383	0.165	1.13276880470401e-11	Myofibroblasts 1	PRDM1
SPATS2L	8.29989636013812e-16	0.607949364906578	0.667	0.48	1.15891452876609e-11	Myofibroblasts 1	SPATS2L
SGIP1	1.17249112189814e-15	0.467034109661784	0.395	0.177	1.63714935350637e-11	Myofibroblasts 1	SGIP1
PALLD	2.91556936160767e-15	0.603637368686183	0.94	0.919	4.0710094996128e-11	Myofibroblasts 1	PALLD
IER3	3.0348072057605e-15	0.942370486655614	0.664	0.458	4.23750130140339e-11	Myofibroblasts 1	IER3
LAMB1	8.07228153554385e-15	0.500149641351691	0.351	0.15	1.12713267080799e-10	Myofibroblasts 1	LAMB1
LXN	9.67198616770953e-15	0.632188594014535	0.374	0.167	1.35049942859728e-10	Myofibroblasts 1	LXN
TSHZ2	9.94703772200536e-15	0.530870140602618	0.414	0.196	1.38890487712361e-10	Myofibroblasts 1	TSHZ2
DNAJA1	1.10176636265823e-14	0.634893539071716	0.914	0.833	1.53839637217969e-10	Myofibroblasts 1	DNAJA1
EGR2	1.4307171053323e-14	0.506739171801446	0.276	0.086	1.9977102941755e-10	Myofibroblasts 1	EGR2
PXDN	1.83638223865906e-14	0.423423850708862	0.384	0.174	2.56414051983964e-10	Myofibroblasts 1	PXDN
FOXP1	2.19556003873223e-14	0.405161644316134	0.303	0.112	3.06566048208181e-10	Myofibroblasts 1	FOXP1
FRMD6	2.28420145532854e-14	0.487995852004946	0.442	0.232	3.18943049207524e-10	Myofibroblasts 1	FRMD6
PGM2L1	2.55687066635773e-14	0.581401796762438	0.373	0.172	3.5701585114353e-10	Myofibroblasts 1	PGM2L1
ENC1	2.76644745733286e-14	0.647381526664392	0.383	0.186	3.86279058467387e-10	Myofibroblasts 1	ENC1
CALM2	2.91537025746395e-14	0.386628225223261	0.992	0.986	4.07073149049691e-10	Myofibroblasts 1	CALM2
HSPG2	3.05093997436428e-14	0.483552824353941	0.391	0.184	4.26002748620485e-10	Myofibroblasts 1	HSPG2
CNN2	5.07882122889872e-14	0.504190888602795	0.877	0.783	7.09155808191129e-10	Myofibroblasts 1	CNN2
SPHK1	7.97111230335871e-14	0.489989180271683	0.291	0.107	1.11300641091798e-09	Myofibroblasts 1	SPHK1
SDC1	8.18112326942451e-14	0.648027038733778	0.369	0.174	1.14233024210974e-09	Myofibroblasts 1	SDC1
MARCKS	1.19657892143984e-13	0.50724327388371	0.576	0.382	1.67078314800645e-09	Myofibroblasts 1	MARCKS
CTSB	1.33385752555882e-13	0.499828154020018	0.966	0.921	1.86246526293778e-09	Myofibroblasts 1	CTSB
SPON2	1.55521846144783e-13	0.611309228425824	0.938	0.885	2.1715515377196e-09	Myofibroblasts 1	SPON2
SVIL	3.17898421949448e-13	0.500446270932707	0.516	0.327	4.43881566568014e-09	Myofibroblasts 1	SVIL
CSRNP3	4.79262720897814e-13	0.372686488631944	0.258	0.086	6.69194537189617e-09	Myofibroblasts 1	CSRNP3
IGFBP2	6.64891254491904e-13	0.596083819872414	0.272	0.098	9.28387658647045e-09	Myofibroblasts 1	IGFBP2
CCN2	6.85254657600811e-13	1.0119976049824	0.743	0.609	9.56821078408013e-09	Myofibroblasts 1	CCN2
MYL12A	9.20049319594985e-13	0.648564048927602	0.929	0.845	1.28466486495048e-08	Myofibroblasts 1	MYL12A
CYTH3	1.16411784622765e-12	0.318867919666273	0.272	0.098	1.62545774868766e-08	Myofibroblasts 1	CYTH3
STMN1	1.33531202132845e-12	0.574846265924745	0.454	0.253	1.86449617538092e-08	Myofibroblasts 1	STMN1
HSPA6	1.38191479545711e-12	1.46293119492681	0.263	0.093	1.92956762889676e-08	Myofibroblasts 1	HSPA6
SERTAD1	1.39030469739976e-12	0.56056163684423	0.676	0.496	1.94128244897928e-08	Myofibroblasts 1	SERTAD1
MYH9	1.70441395712246e-12	0.664018762928584	0.75	0.642	2.37987320833009e-08	Myofibroblasts 1	MYH9
SPARC	2.36193903725432e-12	0.551793971803235	0.99	0.99	3.2979754777182e-08	Myofibroblasts 1	SPARC
GADD45B	2.48849752435058e-12	0.662358006742162	0.818	0.661	3.47468909325072e-08	Myofibroblasts 1	GADD45B
PHLDA2	2.87353784569236e-12	0.450091801170943	0.302	0.124	4.01232089394024e-08	Myofibroblasts 1	PHLDA2
IGFBP3	4.5185990098345e-12	1.58686582331568	0.568	0.394	6.30931979743192e-08	Myofibroblasts 1	IGFBP3
EPSTI1	4.85152679050038e-12	0.338811622993921	0.273	0.103	6.77418685757568e-08	Myofibroblasts 1	EPSTI1
FAP	4.97881716972738e-12	0.361175410022141	0.399	0.198	6.95192241409034e-08	Myofibroblasts 1	FAP
SMIM3	5.91764041869092e-12	0.337720101340795	0.303	0.129	8.26280131661813e-08	Myofibroblasts 1	SMIM3
KLF6	1.11116250277141e-11	0.64280877660368	0.646	0.463	1.55151620261972e-07	Myofibroblasts 1	KLF6
ENAH	1.16690766965005e-11	0.323442969612095	0.259	0.098	1.62935317913237e-07	Myofibroblasts 1	ENAH
TMEM50A	1.30006322308043e-11	0.344219213674001	0.741	0.587	1.8152782783872e-07	Myofibroblasts 1	TMEM50A
VMP1	1.36470506868148e-11	0.521251181797415	0.583	0.403	1.90553768739995e-07	Myofibroblasts 1	VMP1
LMO4	1.86056726881961e-11	0.462667197151063	0.715	0.556	2.59791007745282e-07	Myofibroblasts 1	LMO4
HLA-B	2.45496553763411e-11	0.73026881430634	0.944	0.89	3.4278683801985e-07	Myofibroblasts 1	HLA-B
CTSC	2.51736789940104e-11	0.572790680211783	0.439	0.26	3.51500079793368e-07	Myofibroblasts 1	CTSC
PRRC2C	5.41544683225823e-11	0.378324654394106	0.772	0.621	7.56158841188217e-07	Myofibroblasts 1	PRRC2C
MMP14	5.44673658303209e-11	0.609613906513959	0.859	0.78	7.6052782908877e-07	Myofibroblasts 1	MMP14
DLC1	6.12123983446554e-11	0.423036394001582	0.388	0.22	8.54708718086424e-07	Myofibroblasts 1	DLC1
EIF4G2	6.8924615462955e-11	0.316147114390787	0.925	0.845	9.62394405709241e-07	Myofibroblasts 1	EIF4G2
VIPR2	7.76773146464734e-11	0.460446953412049	0.473	0.298	1.08460834440871e-06	Myofibroblasts 1	VIPR2
HLA-A	7.83661990989688e-11	0.461775259491232	0.977	0.94	1.0942272380189e-06	Myofibroblasts 1	HLA-A
TMEM200A	8.86467515451636e-11	0.359256702801401	0.337	0.169	1.23777459182512e-06	Myofibroblasts 1	TMEM200A
LAMA4	8.90418336594618e-11	0.512196744299744	0.381	0.212	1.24329112338706e-06	Myofibroblasts 1	LAMA4
NRP2	1.20545039699906e-10	0.476973318985596	0.318	0.16	1.68317038932979e-06	Myofibroblasts 1	NRP2
ANKH	1.3910132519073e-10	0.363681767016973	0.278	0.119	1.94227180363816e-06	Myofibroblasts 1	ANKH
COL7A1	1.52663817544321e-10	0.492002711709331	0.374	0.21	2.13164488437136e-06	Myofibroblasts 1	COL7A1
SEPTIN11	2.04284948984265e-10	0.444957012258504	0.676	0.532	2.85243074266729e-06	Myofibroblasts 1	SEPTIN11
CRIP2	2.86789148353551e-10	0.401865285349765	0.329	0.16	4.00443687846063e-06	Myofibroblasts 1	CRIP2
COL4A2	2.96687836290329e-10	0.621377396072168	0.797	0.728	4.14265225812186e-06	Myofibroblasts 1	COL4A2
TAGLN	3.26467649462385e-10	1.2899106062007	0.845	0.788	4.55846778944328e-06	Myofibroblasts 1	TAGLN
NR4A1	3.34735648345427e-10	0.779599703378606	0.674	0.544	4.6739138578472e-06	Myofibroblasts 1	NR4A1
IFI16	4.16051160028227e-10	0.315113795053714	0.679	0.508	5.80932234747413e-06	Myofibroblasts 1	IFI16
CCN1	4.64975390558875e-10	0.654617970907929	0.86	0.749	6.49245137837357e-06	Myofibroblasts 1	CCN1
NEXN	4.98654757215264e-10	0.399493833910125	0.273	0.122	6.96271637499673e-06	Myofibroblasts 1	NEXN
HSPE1	4.99251998981675e-10	0.420075915676409	0.864	0.761	6.97105566178112e-06	Myofibroblasts 1	HSPE1
AEBP1	5.0082816933522e-10	0.516338072114064	0.951	0.933	6.99306372842768e-06	Myofibroblasts 1	AEBP1
RBP1	5.71604547841831e-10	0.487121071433874	0.354	0.196	7.98131430151549e-06	Myofibroblasts 1	RBP1
MAP1LC3B	5.78887265710269e-10	0.348103759760909	0.694	0.558	8.08300289111248e-06	Myofibroblasts 1	MAP1LC3B
FAT1	6.71151717517412e-10	0.370956430814727	0.303	0.15	9.37129143169563e-06	Myofibroblasts 1	FAT1
RGCC	7.34835541717079e-10	0.580203476094252	0.251	0.105	1.02605086689956e-05	Myofibroblasts 1	RGCC
AKAP13	1.11950335363323e-09	0.389267854244611	0.517	0.363	1.56316253267809e-05	Myofibroblasts 1	AKAP13
ID1	1.28015314385826e-09	0.584454113775222	0.525	0.368	1.78747783476929e-05	Myofibroblasts 1	ID1
MINDY2	1.53446280176e-09	0.312720386302643	0.344	0.184	2.14257041009749e-05	Myofibroblasts 1	MINDY2
MYO1E	1.56874083441939e-09	0.374047700565878	0.324	0.165	2.19043282709979e-05	Myofibroblasts 1	MYO1E
PPP1R18	1.84579696099832e-09	0.297960607108848	0.41	0.243	2.57728629664195e-05	Myofibroblasts 1	PPP1R18
XAF1	1.95675605872037e-09	0.351936998960129	0.336	0.179	2.73221848479125e-05	Myofibroblasts 1	XAF1
MOXD1	2.02202687341782e-09	0.34723902200321	0.476	0.301	2.82335612335331e-05	Myofibroblasts 1	MOXD1
ZEB1	2.07585537692552e-09	0.365525467000661	0.497	0.337	2.89851686280111e-05	Myofibroblasts 1	ZEB1
VCL	2.15406066123556e-09	0.415286801270524	0.652	0.527	3.00771490128321e-05	Myofibroblasts 1	VCL
OSBPL9	3.7195384401501e-09	0.279458076329231	0.384	0.224	5.19359152398159e-05	Myofibroblasts 1	OSBPL9
UBB	3.73589998146663e-09	0.370747147425531	0.99	0.995	5.21643714412186e-05	Myofibroblasts 1	UBB
PDGFC	4.44887821739696e-09	0.381831787124899	0.392	0.243	6.21196865495137e-05	Myofibroblasts 1	PDGFC
DSTN	6.14865598436673e-09	0.338534953122349	0.962	0.921	8.58536835097127e-05	Myofibroblasts 1	DSTN
TUBB3	6.44456965918905e-09	0.360742617952728	0.296	0.153	8.99855261512567e-05	Myofibroblasts 1	TUBB3
ISG15	6.55311325096401e-09	0.620279288701326	0.329	0.174	9.15011203232105e-05	Myofibroblasts 1	ISG15
IGF1R	1.13924338500564e-08	0.305158815917307	0.261	0.124	0.000159072553848338	Myofibroblasts 1	IGF1R
PTK7	1.17211758363685e-08	0.366705168935596	0.676	0.551	0.000163662778203213	Myofibroblasts 1	PTK7
ITGA8	1.22253827895758e-08	0.400800941748192	0.403	0.251	0.000170703019890847	Myofibroblasts 1	ITGA8
POMP	1.26478889014099e-08	0.296567571158436	0.776	0.661	0.000176602472730386	Myofibroblasts 1	POMP
LIMS1	1.26679082247994e-08	0.406194821454524	0.595	0.47	0.000176882002542874	Myofibroblasts 1	LIMS1
ASAP1	1.44368934742258e-08	0.316930549132216	0.35	0.203	0.000201582343580615	Myofibroblasts 1	ASAP1
ATP2B1	1.48828323484661e-08	0.422371940315276	0.427	0.294	0.000207808988081632	Myofibroblasts 1	ATP2B1
SERPINE1	1.60103383176286e-08	0.875601830530116	0.331	0.191	0.000223552353929048	Myofibroblasts 1	SERPINE1
CTSA	1.66207835246168e-08	0.295277524930854	0.569	0.413	0.000232076000354225	Myofibroblasts 1	CTSA
WWTR1	1.66336026877121e-08	0.344309590748984	0.538	0.389	0.000232254994328524	Myofibroblasts 1	WWTR1
TCP1	1.69703539825409e-08	0.32722822194162	0.636	0.508	0.000236957052658219	Myofibroblasts 1	TCP1
C9orf16	1.74368635307415e-08	0.286572982496359	0.77	0.675	0.000243470925479744	Myofibroblasts 1	C9orf16
NCOA7	1.79669589843906e-08	0.3606880953609	0.277	0.136	0.000250872648299046	Myofibroblasts 1	NCOA7
ADAMTS2	2.43448593305799e-08	0.441566808585965	0.433	0.289	0.000339927270832887	Myofibroblasts 1	ADAMTS2
HEXIM1	2.78499899600152e-08	0.336758078562162	0.332	0.193	0.000388869409811692	Myofibroblasts 1	HEXIM1
TMEM123	2.84986198462134e-08	0.288648281302472	0.392	0.239	0.000397926228912677	Myofibroblasts 1	TMEM123
RARRES1	3.43678950167724e-08	0.498381501539111	0.267	0.126	0.000479878918119193	Myofibroblasts 1	RARRES1
DYNLL1	3.48476813600772e-08	0.331098543402898	0.951	0.943	0.000486578174830758	Myofibroblasts 1	DYNLL1
C1orf198	4.45389950782266e-08	0.251657502442383	0.31	0.162	0.000621897988277278	Myofibroblasts 1	C1orf198
FBLIM1	5.0132023310363e-08	0.290277105219171	0.54	0.391	0.000699993441482598	Myofibroblasts 1	FBLIM1
TP53I3	5.24689709630798e-08	0.302243680730713	0.321	0.181	0.000732624241557483	Myofibroblasts 1	TP53I3
H3-3A	5.58993249179676e-08	0.256979455911801	0.997	1	0.000780522273829582	Myofibroblasts 1	H3-3A
