Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
negative regulation of cysteine-type endopeptidase activity	5	1.644736842105263	9.085350029609078E-6	CST3, CST2, CST1, CST5, CST4	288	10	19453	33.77256944444444	0.01631008463670125	0.01644448355359243	0.01644448355359243
positive regulation of transcription, DNA-templated	21	6.907894736842106	0.005887439425314398	CEBPB, NCOA6, SRC, PHF20, ACTR5, SS18L1, NFATC2, BMP2, MAFB, MRGBP, HNF4A, TP53INP2, E2F1, SNAI1, TASP1, UBE2V1, SCAND1, PLCB1, TAF4, SNX5, FOXA2	288	728	19453	1.948417467948718	0.9999771773726553	1.0	1.0
negative regulation of gene expression	12	3.9473684210526314	0.0080358037013207	FERMT1, MKKS, BMP2, RBL1, SLC2A10, DDRGK1, SRC, SLC35C2, CPNE1, ADNP, AURKA, OVOL2	288	319	19453	2.5408829676071054	0.9999995452687578	1.0	1.0
cell migration	11	3.618421052631579	0.008511280501264727	ATRN, LAMA5, SDC4, SNAI1, NFATC2, SIRPA, ELMO2, PTK6, PLCG1, MAPRE1, FAM83D	288	278	19453	2.6726493804956037	0.999999809068672	1.0	1.0
defense response to virus	10	3.289473684210526	0.008583834501344577	ZBP1, MAVS, ITCH, CD40, ZNFX1, POLR3F, SAMHD1, SERINC3, ZCCHC3, BCL2L1	288	236	19453	2.862082156308851	0.9999998327551481	1.0	1.0
positive regulation of transcription from RNA polymerase II promoter	30	9.868421052631579	0.008798225690352064	CEBPB, CD40, GMEB2, CHD6, HELZ2, DDRGK1, SALL4, HNF4A, E2F1, PLAGL2, RPRD1B, MYBL2, TFAP2C, JAG1, NCOA6, NCOA3, SS18L1, NFATC2, EBF4, OVOL2, ASXL1, BMP2, MAVS, MAFB, PRPF6, ZFP64, TCEA2, ZNF335, LPIN3, FOXA2	288	1232	19453	1.6447679924242424	0.999999886929812	1.0	1.0
negative regulation of fat cell differentiation	5	1.644736842105263	0.012535943071964045	ASXL1, BMP2, JAG1, E2F1, TRIB3	288	61	19453	5.53648679417122	0.9999999998787877	1.0	1.0
negative regulation of transcription from RNA polymerase II promoter	25	8.223684210526317	0.015774557588337575	ZNF133, CEBPB, PCNA, ZMYND8, SALL4, E2F1, RALY, KAT14, TFAP2C, ZGPAT, TGIF2, NCOA5, NFATC2, CBFA2T2, OVOL2, BMP2, MAFB, RBL1, ID1, SNAI1, ZNF217, TRIB3, ZNF337, PKIG, GZF1	288	1016	19453	1.662035897856518	0.9999999999996829	1.0	1.0
liver regeneration	4	1.3157894736842104	0.015845465057151332	CEBPB, PCNA, AURKA, SULF2	288	36	19453	7.505015432098765	0.9999999999997217	1.0	1.0
activation of innate immune response	4	1.3157894736842104	0.015845465057151332	ZBP1, MAVS, ZNFX1, ZCCHC3	288	36	19453	7.505015432098765	0.9999999999997217	1.0	1.0
cellular response to hydrogen peroxide	5	1.644736842105263	0.018962791636708415	OSER1, PCNA, MAP1LC3A, SRC, SIRPA	288	69	19453	4.894575281803543	0.9999999999999991	1.0	1.0
phospholipid transport	4	1.3157894736842104	0.022421640245108995	OSBPL2, PLTP, ATP9A, PRELID3B	288	41	19453	6.589769647696476	1.0	1.0	1.0
positive regulation of embryonic development	3	0.9868421052631579	0.02271248642123018	PLCB1, FOXA2, B4GALT5	288	16	19453	12.664713541666666	1.0	1.0	1.0
negative regulation of protein binding	5	1.644736842105263	0.02491072583525954	SLPI, CTSZ, ID1, ADNP, AURKA	288	75	19453	4.503009259259259	1.0	1.0	1.0
transcription, DNA-templated	6	1.9736842105263157	0.027000832511712407	DIDO1, TCEA2, E2F1, PLAGL2, CBFA2T2, FOXA2	288	114	19453	3.5550073099415203	1.0	1.0	1.0
dATP catabolic process	2	0.6578947368421052	0.029290098170116043	SAMHD1, ADA	288	2	19453	67.54513888888889	1.0	1.0	1.0
acetate biosynthetic process	2	0.6578947368421052	0.029290098170116043	ACSS2, ACSS1	288	2	19453	67.54513888888889	1.0	1.0	1.0
propionate biosynthetic process	2	0.6578947368421052	0.029290098170116043	ACSS2, ACSS1	288	2	19453	67.54513888888889	1.0	1.0	1.0
acetyl-CoA biosynthetic process from acetate	2	0.6578947368421052	0.029290098170116043	ACSS2, ACSS1	288	2	19453	67.54513888888889	1.0	1.0	1.0
mRNA splicing, via spliceosome	8	2.631578947368421	0.029305342781452044	PRPF6, DHX35, RALY, SNRPB2, SRSF6, CRNKL1, CTNNBL1, SNRPB	288	200	19453	2.7018055555555556	1.0	1.0	1.0
chaperone-mediated protein folding	4	1.3157894736842104	0.030267590986170715	FKBP1A, CSNK2A1, DNAJC5, PFDN4	288	46	19453	5.873490338164252	1.0	1.0	1.0
protein phosphorylation	13	4.276315789473684	0.03270740158009215	CSNK2A1, TP53RK, SRC, PTK6, STK4, CDC25B, AURKA, BMP2, STK35, PTPRA, TRIB3, TAF4, SGK2	288	444	19453	1.9776729854854855	1.0	1.0	1.0
protein localization to centrosome	3	0.9868421052631579	0.04126976863108156	CEP250, MAPRE1, AURKA	288	22	19453	9.210700757575756	1.0	1.0	1.0
cell cycle	11	3.618421052631579	0.04585797145237355	RBM38, PRNP, RASSF2, RBL1, CSNK2A1, MCM8, SRC, RAE1, BLCAP, CDC25B, AURKA	288	366	19453	2.030045157862781	1.0	1.0	1.0
regulation of cell cycle	9	2.9605263157894735	0.045862882481306	RBM38, PRNP, MRGBP, RBL1, CSNK2A1, ACTR5, PLCB1, KAT14, OVOL2	288	268	19453	2.2683069029850746	1.0	1.0	1.0
